,Name,Teams,Season,POS,GP,PUNTS,P YDS,LNG,P AVG,NET,PBLK,IN20,TB,FC,ATT,PR YDS,PR AVG
71,Corey Bojorquez,BUF,2020,P,16,41,2082,72,50.8,44.0,0,18,7,6,16,138,8.6
72,Michael Dickson,SEA,2020,P,16,61,3028,67,49.6,44.4,0,32,6,13,28,199,7.1
73,Jack Fox,DET,2020,P,16,59,2897,67,49.1,44.8,0,26,7,15,21,116,5.5
74,Jake Bailey,NE,2020,P,16,55,2678,71,48.7,45.6,0,31,5,18,12,71,5.9
75,Tress Way,WSH,2020,P,16,73,3504,65,48.0,44.3,0,23,3,25,36,209,5.8
76,Logan Cooke,JAX,2020,P,14,56,2669,67,47.7,43.2,0,19,5,11,21,148,7.0
77,Kevin Huber,CIN,2020,P,16,71,3350,72,47.2,42.8,0,19,7,16,29,170,5.9
78,Mitch Wishnowsky,SF,2020,P,16,66,3093,60,46.9,41.6,1,25,6,28,23,183,8.0
79,Ty Long,LAC,2020,P,16,57,2669,63,46.8,34.1,3,12,3,8,37,564,15.2
80,Sam Martin,DEN,2020,P,16,65,3040,69,46.8,41.4,1,19,4,13,28,226,8.1
81,Cameron Johnston,PHI,2020,P,16,71,3318,66,46.7,40.6,1,26,6,13,41,274,6.7
82,Bryan Anger,HOU,2020,P,16,54,2505,67,46.4,41.8,0,19,6,21,19,128,6.7
83,Joseph Charlton,CAR,2020,P,16,45,2082,67,46.3,40.8,0,21,3,16,18,184,10.2
84,Rigoberto Sanchez,IND,2020,P,14,42,1940,60,46.2,40.0,1,18,4,10,19,141,7.4
85,Jordan Berry,PIT,2020,P,11,57,2609,62,45.8,40.5,0,23,3,22,21,242,11.5
86,Pat O'Donnell,CHI,2020,P,16,64,2924,64,45.7,39.5,0,28,5,22,25,294,11.8
87,Johnny Hekker,LAR,2020,P,16,68,3099,63,45.6,39.2,1,28,5,20,23,297,12.9
88,JK Scott,GB,2020,P,16,46,2092,62,45.5,37.0,1,15,3,10,17,291,17.1
89,Bradley Pinion,TB,2020,P,16,55,2486,62,45.2,40.2,0,19,2,15,23,236,10.3
90,Britton Colquitt,MIN,2020,P,16,54,2435,59,45.1,36.7,2,11,3,11,33,321,9.7
91,Tommy Townsend,KC,2020,P,16,52,2339,67,45.0,40.4,0,20,6,18,15,119,7.9
92,Andy Lee,ARI,2020,P,16,58,2600,61,44.8,39.6,0,21,5,20,22,201,9.1
93,Riley Dixon,NYG,2020,P,16,65,2911,71,44.8,38.8,1,28,6,18,25,232,9.3
94,Matt Haack,MIA,2020,P,16,68,3040,63,44.7,39.8,0,26,2,22,24,297,12.4
95,Sam Koch,BAL,2020,P,15,51,2268,59,44.5,42.5,0,22,1,20,17,82,4.8
96,AJ Cole,LV,2020,P,16,44,1939,63,44.1,40.1,0,20,2,16,14,133,9.5
97,Jamie Gillan,CLE,2020,P,16,51,2244,59,44.0,38.3,0,14,3,15,25,229,9.2
98,Braden Mann,NYJ,2020,P,16,82,3598,60,43.9,37.2,0,19,5,20,38,446,11.7
99,Thomas Morstead,NO,2020,P,16,62,2674,58,43.1,41.7,0,23,2,29,20,46,2.3
100,Sterling Hofrichter,ATL,2020,P,16,56,2381,57,42.5,39.3,0,17,2,19,26,142,5.5
