,Name,Teams,Season,POS,GP,FGM,FGA,FG%,LNG,1-19,20-29,30-39,40-49,50+,XPM,XPA,XP%
133,Younghoe Koo,ATL,2020,PK,15,37,39,94.9,54,0-0,10-10,11-12,8-9,8-8,33,36,91.7
134,Jason Sanders,MIA,2020,PK,16,36,39,92.3,56,1-1,8-8,7-7,12-14,8-9,36,36,100.0
135,Greg Zuerlein,DAL,2020,PK,16,34,41,82.9,59,1-1,5-5,13-13,12-13,3-9,33,36,91.7
136,Daniel Carlson,LV,2020,PK,16,33,35,94.3,54,0-0,18-18,8-8,3-5,4-4,45,47,95.7
137,Rodrigo Blankenship,IND,2020,PK,16,32,37,86.5,53,0-0,10-10,12-13,9-11,1-3,43,45,95.6
138,Graham Gano,NYG,2020,PK,16,31,32,96.9,55,0-0,4-4,13-13,9-9,5-6,21,23,91.3
139,Cairo Santos,CHI,2020,PK,16,30,32,93.8,55,0-0,9-9,10-10,9-10,2-3,36,37,97.3
140,Joey Slye,CAR,2020,PK,16,29,36,80.6,56,0-0,11-12,10-10,7-8,1-6,33,36,91.7
141,Ryan Succop,TB,2020,PK,16,28,31,90.3,50,1-1,10-10,9-9,7-9,1-2,52,57,91.2
142,Brandon McManus,DEN,2020,PK,15,28,34,82.4,58,0-0,6-6,4-5,8-8,10-15,24,27,88.9
143,Tyler Bass,BUF,2020,PK,16,28,34,82.4,58,1-1,9-9,6-9,8-9,4-6,57,59,96.6
144,Dustin Hopkins,WSH,2020,PK,16,27,34,79.4,51,0-0,5-5,7-8,13-17,2-4,30,32,93.8
145,Ka'imi Fairbairn,HOU,2020,PK,16,27,31,87.1,54,0-0,8-8,9-9,6-8,4-6,37,40,92.5
146,Nick Folk,NE,2020,PK,16,26,28,92.9,51,0-0,6-6,7-7,11-12,2-3,30,33,90.9
147,Justin Tucker,BAL,2020,PK,16,26,29,89.7,55,0-0,8-8,6-7,9-9,3-5,52,53,98.1
148,Harrison Butker,KC,2020,PK,16,25,27,92.6,58,2-2,7-7,9-9,3-5,4-4,48,54,88.9
149,Jason Myers,SEA,2020,PK,16,24,24,100.0,61,0-0,2-2,7-7,13-13,2-2,49,53,92.5
150,Michael Badgley,LAC,2020,PK,16,24,33,72.7,53,0-0,8-8,6-6,8-13,2-6,36,39,92.3
151,Wil Lutz,NO,2020,PK,16,23,28,82.1,53,0-0,5-6,10-10,7-9,1-3,57,58,98.3
152,Matt Prater,DET,2020,PK,16,21,28,75.0,59,0-0,4-4,7-7,4-7,6-10,38,41,92.7
153,Randy Bullock,CIN,2020,PK,12,21,26,80.8,55,0-0,3-3,8-10,7-8,3-5,24,25,96.0
