,Name,Teams,Season,POS,GP,K ATT,K YDS,K AVG,K LNG,K TD,P ATT,P YDS,P AVG,P LNG,P TD,FC
378,Cordarrelle Patterson,CHI,2020,RB,16,35,1017,29.1,104,1,0,0,0.0,0,0,0
379,Andre Roberts,BUF,2020,WR,15,32,961,30.0,60,0,29,286,9.9,38,0,12
380,Jamal Agnew,DET,2020,WR,14,28,783,28.0,71,0,14,178,12.7,74,1,14
381,Tony Pollard,DAL,2020,RB,16,32,766,23.9,67,0,0,0,0.0,0,0,0
382,Isaiah Rodgers Sr.,IND,2020,CB,13,24,692,28.8,101,1,1,12,12.0,12,0,1
383,Ray-Ray McCloud III,PIT,2020,WR,16,28,646,23.1,49,0,29,298,10.3,57,0,19
384,Brandon Wilson,CIN,2020,S,15,24,629,26.2,103,1,0,0,0.0,0,0,0
385,Boston Scott,PHI,2020,RB,16,28,590,21.1,46,0,0,0,0.0,0,0,0
386,Devin Duvernay,BAL,2020,WR,16,21,578,27.5,93,1,4,46,11.5,19,0,2
387,Danny Johnson,WSH,2020,CB,14,26,573,22.0,46,0,1,3,3.0,3,0,4
388,Dion Lewis,NYG,2020,RB,16,24,538,22.4,48,0,0,0,0.0,0,0,0
389,Corey Ballentine,NYG / NYJ,2020,CB,15,21,505,24.0,66,0,0,0,0.0,0,0,0
390,Deonte Harty,NO,2020,WR,9,16,436,27.3,75,0,17,207,12.2,42,0,5
391,Joe Reed,LAC,2020,WR,11,21,435,20.7,46,0,0,0,0.0,0,0,0
392,Pharoh Cooper,CAR,2020,WR,16,18,430,23.9,38,0,20,117,5.8,20,0,18
393,Gunner Olszewski,NE,2020,WR,13,18,418,23.2,33,0,20,346,17.3,70,1,11
394,Chase Edmonds,ARI,2020,RB,16,18,417,23.2,54,0,0,0,0.0,0,0,0
395,Donovan Peoples-Jones,CLE,2020,WR,12,18,379,21.1,33,0,18,77,4.3,13,0,7
396,Ameer Abdullah,MIN,2020,RB,16,15,352,23.5,33,0,0,0,0.0,0,0,0
397,D'Ernest Johnson,CLE,2020,RB,16,14,351,25.1,43,0,3,13,4.3,10,0,4
398,Nsimba Webster,LAR,2020,WR,16,16,347,21.7,30,0,25,185,7.4,34,0,17
