,Name,Teams,Season,POS,GP,RUSH,REC,RET,TD,FG,XP,2PT,PTS,PTS/G
962,Younghoe Koo,ATL,2020,PK,15,0,0,0,0,37,33,0,144,9.6
963,Daniel Carlson,LV,2020,PK,16,0,0,0,0,33,45,0,144,9.0
964,Jason Sanders,MIA,2020,PK,16,0,0,0,0,36,36,0,144,9.0
965,Tyler Bass,BUF,2020,PK,16,0,0,0,0,28,57,0,141,8.8
966,Rodrigo Blankenship,IND,2020,PK,16,0,0,0,0,32,43,0,139,8.7
967,Ryan Succop,TB,2020,PK,16,0,0,0,0,28,52,0,136,8.5
968,Greg Zuerlein,DAL,2020,PK,16,0,0,0,0,34,33,0,135,8.4
969,Justin Tucker,BAL,2020,PK,16,0,0,0,0,26,52,0,130,8.1
970,Cairo Santos,CHI,2020,PK,16,0,0,0,0,30,36,0,126,7.9
971,Wil Lutz,NO,2020,PK,16,0,0,0,0,23,57,0,126,7.9
972,Alvin Kamara,NO,2020,RB,15,16,5,0,21,0,0,0,126,8.4
973,Harrison Butker,KC,2020,PK,16,0,0,0,0,25,48,0,123,7.7
974,Jason Myers,SEA,2020,PK,16,0,0,0,0,24,49,0,121,7.6
975,Joey Slye,CAR,2020,PK,16,0,0,0,0,29,33,0,120,7.5
976,Ka'imi Fairbairn,HOU,2020,PK,16,0,0,0,0,27,37,0,118,7.4
977,Graham Gano,NYG,2020,PK,16,0,0,0,0,31,21,0,114,7.1
978,Dustin Hopkins,WSH,2020,PK,16,0,0,0,0,27,30,0,111,6.9
979,Nick Folk,NE,2020,PK,16,0,0,0,0,26,30,0,108,6.8
980,Brandon McManus,DEN,2020,PK,15,0,0,0,0,28,24,0,108,7.2
981,Davante Adams,GB,2020,WR,14,0,18,0,18,0,0,0,108,7.7
982,Dalvin Cook,MIN,2020,RB,14,16,1,0,17,0,0,3,108,7.7
983,Mason Crosby,GB,2020,PK,16,0,0,0,0,16,59,0,107,6.7
984,Derrick Henry,TEN,2020,RB,16,17,0,0,17,0,0,1,104,6.5
985,Tyreek Hill,KC,2020,WR,15,2,15,0,17,0,0,0,102,6.8
986,Matt Prater,DET,2020,PK,16,0,0,0,0,21,38,0,101,6.3
987,Stephen Gostkowski,TEN,2020,PK,15,0,0,0,0,18,46,0,100,6.7
988,Cody Parkey,CLE,2020,PK,15,0,0,0,0,19,43,0,100,6.7
989,Michael Badgley,LAC,2020,PK,16,0,0,0,0,22,33,0,99,6.2
990,Robbie Gould,SF,2020,PK,15,0,0,0,0,19,36,0,93,6.2
991,Chris Boswell,PIT,2020,PK,13,0,0,0,0,19,34,0,91,7.0
992,Randy Bullock,CIN,2020,PK,12,0,0,0,0,21,24,0,87,7.3
993,Adam Thielen,MIN,2020,WR,15,0,14,0,14,0,0,1,86,5.7
994,Zane Gonzalez,ARI,2020,PK,12,0,0,0,0,16,38,0,86,7.2
995,Dan Bailey,MIN,2020,PK,16,0,0,0,0,15,37,0,82,5.1
996,Cam Newton,NE,2020,QB,15,12,1,0,13,0,0,0,78,5.2
997,Mike Evans,TB,2020,WR,16,0,13,0,13,0,0,0,78,4.9
998,Nick Chubb,CLE,2020,RB,12,12,0,0,12,0,0,0,72,6.0
999,Josh Jacobs,LV,2020,RB,15,12,0,0,12,0,0,0,72,4.8
1000,A.J. Brown,TEN,2020,WR,14,0,11,1,12,0,0,0,72,5.1
1001,Jonathan Taylor,IND,2020,RB,15,11,1,0,12,0,0,0,72,4.8
1002,Travis Kelce,KC,2020,TE,15,0,11,0,11,0,0,1,68,4.5
1003,Robert Tonyan,GB,2020,TE,16,0,11,0,11,0,0,0,66,4.1
1004,Aaron Jones,GB,2020,RB,14,9,2,0,11,0,0,0,66,4.7
1005,Jake Elliott,PHI,2020,PK,16,0,0,0,0,14,24,0,66,4.1
1006,Kareem Hunt,CLE,2020,RB,16,6,5,0,11,0,0,0,66,4.1
