,Name,Teams,Season,POS,GP,SOLO,AST,TOT,SACK YDS,YDS,TFL,PD,INT,INT YDS,LNG,TD,FF,FR,FTD
0,Foyesade Oluokun,JAX,2022,LB,17,128,56,184,2.0,12,12,5,0,0,0,0,2,2,0
1,Nick Bolton,KC,2022,LB,17,108,72,180,2.0,19,9,3,2,15,1,0,1,0,0
2,Roquan Smith,BAL / CHI,2022,LB,17,103,66,169,4.5,23,11,6,3,41,1,0,0,0,0
3,Zaire Franklin,IND,2022,LB,17,102,65,167,3.0,18,12,6,0,0,0,0,3,0,0
4,Alex Singleton,DEN,2022,LB,17,100,63,163,0.0,0,6,3,0,0,0,0,1,0,0
5,Jordyn Brooks,SEA,2022,LB,16,103,58,161,1.0,10,3,5,0,0,0,0,1,1,0
6,T.J. Edwards,PHI,2022,LB,17,99,60,159,2.0,3,10,7,0,0,0,0,0,1,0
7,Rashaan Evans,ATL,2022,LB,17,86,73,159,2.0,17,6,4,0,0,0,0,1,2,0
8,C.J. Mosley,NYJ,2022,LB,17,99,59,158,1.0,0,5,7,1,0,1,0,0,1,0
9,Bobby Okereke,IND,2022,LB,17,99,52,151,0.0,0,6,5,0,0,0,0,2,2,0
10,Jalen Pitre,HOU,2022,S,17,99,48,147,1.0,8,5,8,5,57,1,0,0,0,0
11,Drue Tranquill,LAC,2022,LB,17,95,51,146,5.0,27,10,4,1,20,1,0,1,0,0
12,Bobby Wagner,LAR,2022,LB,17,81,59,140,6.0,32,10,5,2,13,1,0,0,0,0
13,Eric Kendricks,MIN,2022,LB,17,87,50,137,1.0,8,8,6,0,0,0,0,0,1,0
14,Cody Barton,SEA,2022,LB,17,84,52,136,2.0,8,4,6,2,11,1,0,0,0,0
15,Shaq Thompson,CAR,2022,LB,17,78,57,135,0.5,3,8,4,0,0,0,0,0,0,0
16,Fred Warner,SF,2022,LB,17,79,51,130,2.0,15,3,10,1,20,1,0,1,0,0
17,Jordan Hicks,MIN,2022,LB,17,86,43,129,3.0,11,2,10,1,19,1,0,1,0,0
18,Josey Jewell,DEN,2022,LB,13,70,58,128,2.5,28,7,4,2,21,1,0,2,2,0
19,Dre Greenlaw,SF,2022,LB,15,82,45,127,0.0,0,3,6,1,0,1,0,2,2,1
20,Alex Anzalone,DET,2022,LB,17,77,48,125,1.5,15,7,6,1,4,1,0,1,1,0
21,Ja'Whaun Bentley,NE,2022,LB,17,62,63,125,3.0,25,5,2,1,7,1,0,0,1,0
22,Jonathan Owens,HOU,2022,S,17,84,41,125,1.0,0,0,4,0,0,0,0,0,0,0
23,Lavonte David,TB,2022,LB,17,80,44,124,3.0,26,10,5,0,0,0,0,1,1,0
24,Christian Kirksey,HOU,2022,LB,17,82,42,124,3.0,26,7,5,2,18,1,0,0,1,0
25,Devin White,TB,2022,LB,17,73,51,124,5.5,40,8,5,0,0,0,0,2,3,0
26,Julian Love,NYG,2022,S,16,79,45,124,1.0,9,6,5,2,44,1,0,1,1,0
27,Logan Wilson,CIN,2022,LB,15,83,40,123,2.5,10,3,4,1,41,1,0,1,0,0
28,Richie Grant,ATL,2022,S,17,70,53,123,0.0,0,3,7,2,22,1,0,1,1,0
29,Quay Walker,GB,2022,LB,17,75,46,121,1.5,14,5,7,0,0,0,0,3,1,0
30,Patrick Queen,BAL,2022,LB,17,79,38,117,5.0,25,9,6,2,11,1,0,1,2,0
31,Rayshawn Jenkins,JAX,2022,S,17,73,43,116,1.0,0,3,12,3,64,1,1,3,0,0
32,Nicholas Morrow,CHI,2022,LB,17,83,33,116,0.0,0,11,2,1,5,1,0,0,0,0
33,Derwin James Jr.,LAC,2022,S,14,64,51,115,4.0,33,5,6,2,0,1,0,2,0,0
34,Devin Lloyd,JAX,2022,LB,17,59,56,115,0.0,0,0,8,3,42,1,0,0,2,0
35,Ernest Jones IV,LAR,2022,LB,17,66,48,114,0.0,0,4,2,1,0,1,0,1,0,0
36,Frankie Luvu,CAR,2022,LB,15,76,35,111,7.0,46,19,4,1,33,1,1,1,0,0
37,Budda Baker,ARI,2022,S,15,75,36,111,0.0,0,1,7,2,54,1,0,1,0,0
38,Kyzir White,PHI,2022,LB,17,66,44,110,1.5,7,3,7,0,0,0,0,0,0,0
39,Jalen Thompson,ARI,2022,S,17,79,31,110,0.0,0,1,8,1,0,1,0,0,1,0
40,Demario Davis,NO,2022,LB,17,54,55,109,6.5,42,10,6,1,4,1,0,0,1,0
41,Kevin Byard III,TEN,2022,S,17,69,39,108,0.0,0,0,6,4,57,1,0,0,0,0
42,L'Jarius Sneed,KC,2022,CB,17,75,33,108,3.5,31,5,11,3,57,1,0,3,1,0
43,Elandon Roberts,MIA,2022,LB,17,68,39,107,4.5,43,10,0,0,0,0,0,0,0,0
44,Mykal Walker,ATL,2022,LB,16,56,51,107,1.0,9,4,6,2,33,1,0,1,0,0
45,Quincy Williams,NYJ,2022,LB,15,74,32,106,3.0,21,12,1,0,0,0,0,0,0,0
46,Grant Delpit,CLE,2022,S,17,72,33,105,0.0,0,4,10,4,36,1,0,0,0,0
47,Myles Jack,PIT,2022,LB,15,61,43,104,0.0,0,3,3,0,0,0,0,0,0,0
48,Jamin Davis,WSH,2022,LB,16,68,36,104,3.0,15,9,1,0,0,0,0,0,2,0
