,Name,Teams,Season,POS,GP,FGM,FGA,FG%,LNG,1-19,20-29,30-39,40-49,50+,XPM,XPA,XP%
0,Brandon Aubrey,DAL,2023,PK,17,36,38,94.7,60,0-0,9-9,13-15,4-4,10-10,49,52,94.2
1,Greg Zuerlein,NYJ,2023,PK,16,35,38,92.1,55,0-0,8-8,9-10,13-14,5-6,15,16,93.8
2,Cairo Santos,CHI,2023,PK,17,35,38,92.1,55,0-0,9-9,11-11,8-10,7-8,31,33,93.9
3,Jason Myers,SEA,2023,PK,17,35,42,83.3,55,0-0,8-8,11-12,12-14,4-8,33,33,100.0
4,Dustin Hopkins,CLE,2023,PK,15,33,36,91.7,58,0-0,8-8,7-7,10-13,8-8,24,26,92.3
5,Harrison Butker,KC,2023,PK,17,33,35,94.3,60,0-0,8-8,13-15,7-7,5-5,38,38,100.0
6,Matt Gay,IND,2023,PK,17,33,41,80.5,57,0-0,9-9,9-10,7-9,8-13,35,36,97.2
7,Justin Tucker,BAL,2023,PK,17,32,37,86.5,50,0-0,10-10,10-10,11-12,1-5,51,52,98.1
8,Younghoe Koo,ATL,2023,PK,17,32,37,86.5,54,0-0,10-10,10-10,9-11,3-6,27,28,96.4
9,Cameron Dicker,LAC,2023,PK,17,31,33,93.9,55,0-0,7-7,8-8,9-9,7-9,35,35,100.0
10,Brandon McManus,JAX,2023,PK,17,30,37,81.1,56,0-0,4-4,10-10,11-13,5-10,35,35,100.0
11,Wil Lutz,DEN,2023,PK,17,30,34,88.2,52,0-0,11-11,12-13,4-5,3-5,29,31,93.5
12,Jake Elliott,PHI,2023,PK,17,30,32,93.8,61,0-0,9-9,7-8,7-7,7-8,45,46,97.8
13,Blake Grupe,NO,2023,PK,17,30,37,81.1,55,0-0,10-12,6-6,8-10,6-9,40,40,100.0
14,Nick Folk,TEN,2023,PK,17,29,30,96.7,53,0-0,9-9,9-9,6-6,5-6,28,30,93.3
15,Chris Boswell,PIT,2023,PK,17,29,31,93.5,57,0-0,9-9,7-7,7-8,6-7,27,28,96.4
16,Chase McLaughlin,TB,2023,PK,17,29,31,93.5,57,0-0,8-8,12-12,2-3,7-8,33,33,100.0
17,Matt Prater,ARI,2023,PK,17,28,33,84.8,62,0-0,6-6,7-8,6-7,9-12,22,23,95.7
18,Ka'imi Fairbairn,HOU,2023,PK,12,27,28,96.4,54,0-0,10-10,10-10,2-2,5-6,21,22,95.5
19,Anders Carlson,GB,2023,PK,17,27,33,81.8,53,0-0,6-6,14-14,4-8,3-5,34,39,87.2
20,Daniel Carlson,LV,2023,PK,17,26,30,86.7,54,0-0,10-10,6-7,9-10,1-3,32,32,100.0
21,Evan McPherson,CIN,2023,PK,17,26,31,83.9,56,0-0,5-5,6-6,8-8,7-12,40,40,100.0
22,Eddy Pineiro,CAR,2023,PK,15,25,29,86.2,56,0-0,6-6,7-7,7-9,5-7,17,20,85.0
23,Jason Sanders,MIA,2023,PK,17,24,28,85.7,57,0-0,6-6,7-7,6-8,5-7,58,59,98.3
24,Tyler Bass,BUF,2023,PK,17,24,29,82.8,54,0-0,4-4,12-13,4-6,4-6,49,50,98.0
25,Greg Joseph,MIN,2023,PK,17,24,30,80.0,54,1-1,7-7,9-9,3-6,4-7,36,38,94.7
26,Jake Moody,SF,2023,PK,17,21,25,84.0,57,0-0,7-7,8-9,4-6,2-3,60,61,98.4
27,Joey Slye,WSH,2023,PK,17,19,24,79.2,61,0-0,2-3,7-7,7-9,3-5,32,35,91.4
28,Brett Maher,LAR,2023,PK,8,17,23,73.9,54,0-0,3-3,4-4,7-9,3-7,13,15,86.7
29,Riley PattersonCLE,CLE / DET,2023,PK,15,16,18,88.9,52,0-0,2-3,11-11,2-2,1-2,41,44,93.2
30,Chad Ryland,NE,2023,PK,17,16,25,64.0,56,0-0,4-4,5-7,5-10,2-4,24,25,96.0
31,Lucas Havrisik,LAR,2023,PK,9,15,20,75.0,52,0-0,8-8,3-3,2-6,2-3,19,22,86.4
32,Graham Gano,NYG,2023,PK,8,11,17,64.7,57,0-0,2-2,3-5,3-6,3-4,8,8,100.0
33,Matt Ammendola,HOU,2023,PK,5,6,9,66.7,45,0-0,2-2,3-3,1-2,0-2,10,11,90.9
34,Mason Crosby,NYG,2023,PK,3,5,7,71.4,52,0-0,2-2,2-2,0-1,1-2,6,7,85.7
35,Randy Bullock,NYG,2023,PK,6,5,6,83.3,56,0-0,0-0,2-2,2-3,1-1,10,10,100.0
36,Michael Badgley,DET,2023,PK,4,4,4,100.0,41,0-0,0-0,3-3,1-1,0-0,13,15,86.7
37,Dare Ogunbowale,HOU,2023,RB,12,1,1,100.0,29,0-0,1-1,0-0,0-0,0-0,0,0,0.0
38,Austin Seibert,NYJ,2023,PK,1,1,1,100.0,34,0-0,0-0,1-1,0-0,0-0,1,1,100.0
39,Jamie Gillan,NYG,2023,P,17,1,1,100.0,40,0-0,0-0,0-0,1-1,0-0,0,0,0.0
40,Thomas Morstead,NYJ,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
41,Johnny Hekker,CAR,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
42,Riley Dixon,DEN,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
43,Bradley Pinion,ATL,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
44,Kamu Grugier-Hill,CAR,2023,LB,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
45,Cameron Johnston,HOU,2023,P,13,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
46,Matthew Wright,CAR,2023,PK,1,0,1,0.0,0,0-0,0-0,0-0,0-0,0-1,0,0,0.0
47,Rigoberto Sanchez,IND,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
48,Tommy Townsend,KC,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
49,Jack Fox,DET,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
50,Jake Bailey,MIA,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
51,Mitch Wishnowsky,SF,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
52,Corey Bojorquez,CLE,2023,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
53,Trenton Gill,CHI,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
54,Bryce Baringer,NE,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
55,Jordan Stout,BAL,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
56,Ryan Wright,MIN,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
57,Jake Camarda,TB,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
58,Ty ZentnerHOU,HOU / TEN,2023,P,9,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
59,D'Anthony Bell,CLE,2023,S,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
60,Ethan Evans,LAR,2023,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
61,Justin Tucker,BAL,2022,PK,17,37,43,86.0,58,0-0,13-13,11-11,4-5,9-14,31,32,96.9
62,Jason Myers,SEA,2022,PK,17,34,37,91.9,56,0-0,9-9,15-16,4-6,6-6,41,42,97.6
63,Daniel Carlson,LV,2022,PK,17,34,37,91.9,57,0-0,9-9,11-11,3-4,11-13,35,36,97.2
64,Eddy Pineiro,CAR,2022,PK,17,33,35,94.3,54,0-0,2-2,16-17,13-14,2-2,30,32,93.8
65,Nick Folk,NE,2022,PK,17,32,37,86.5,54,1-1,9-9,8-8,10-14,4-5,32,35,91.4
66,Younghoe Koo,ATL,2022,PK,17,32,37,86.5,54,0-0,9-9,7-7,9-10,7-11,33,35,94.3
67,Ryan Succop,TB,2022,PK,17,31,38,81.6,54,0-0,10-11,7-8,12-12,2-7,24,25,96.0
68,Greg Zuerlein,NYJ,2022,PK,17,30,37,81.1,60,0-0,5-5,10-10,9-11,6-11,28,29,96.6
69,Chase McLaughlin,IND,2022,PK,16,30,36,83.3,54,0-0,7-7,5-6,9-11,9-12,21,21,100.0
70,Riley Patterson,JAX,2022,PK,17,30,35,85.7,53,0-0,8-8,10-11,10-13,2-3,36,37,97.3
71,Graham Gano,NYG,2022,PK,17,29,32,90.6,57,0-0,2-2,9-10,10-11,8-9,32,34,94.1
72,Brett Maher,DAL,2022,PK,17,29,32,90.6,60,0-0,9-9,5-5,6-7,9-11,50,53,94.3
73,Ka'imi Fairbairn,HOU,2022,PK,17,29,31,93.5,56,0-0,7-7,7-8,9-10,6-6,24,24,100.0
74,Brandon McManus,DEN,2022,PK,17,28,36,77.8,55,0-0,6-7,4-6,10-10,8-13,25,27,92.6
75,Matt Gay,LAR,2022,PK,17,28,30,93.3,58,0-0,9-9,8-8,4-4,7-9,31,32,96.9
76,Robbie Gould,SF,2022,PK,17,27,32,84.4,51,0-0,13-14,5-5,7-11,2-2,50,51,98.0
77,Tyler Bass,BUF,2022,PK,16,27,31,87.1,56,0-0,4-4,11-13,10-11,2-3,48,50,96.0
78,Jason Sanders,MIA,2022,PK,17,26,32,81.3,55,0-0,5-6,7-7,12-13,2-6,41,44,93.2
79,Greg Joseph,MIN,2022,PK,17,26,33,78.8,61,0-0,10-10,5-5,7-8,4-10,40,46,87.0
80,Mason Crosby,GB,2022,PK,17,25,29,86.2,56,0-0,10-10,8-8,6-7,1-4,37,39,94.9
81,Joey Slye,WSH,2022,PK,17,25,30,83.3,58,1-1,8-8,4-5,8-10,4-6,24,28,85.7
82,Michael BadgleyCHI,CHI / DET,2022,PK,13,24,28,85.7,53,0-0,6-7,7-7,9-11,2-3,33,33,100.0
83,Evan McPherson,CIN,2022,PK,16,24,29,82.8,59,1-1,5-6,4-4,9-13,5-5,40,44,90.9
84,Cade York,CLE,2022,PK,17,24,32,75.0,58,0-0,5-5,9-12,6-8,4-7,35,37,94.6
85,Wil Lutz,NO,2022,PK,17,23,31,74.2,60,0-0,6-6,9-11,4-8,4-6,33,33,100.0
86,Matt Prater,ARI,2022,PK,13,22,25,88.0,57,0-0,1-1,10-10,6-8,5-6,17,18,94.4
87,Cairo Santos,CHI,2022,PK,16,21,23,91.3,51,0-0,4-4,7-7,6-7,4-5,27,32,84.4
88,Cameron DickerLAC,LAC / PHI,2022,PK,11,21,22,95.5,48,0-0,7-7,7-7,7-7,0-1,24,24,100.0
89,Chris Boswell,PIT,2022,PK,12,20,28,71.4,59,0-0,4-4,4-5,5-10,7-9,18,18,100.0
90,Jake Elliott,PHI,2022,PK,16,20,23,87.0,56,0-0,6-6,8-9,1-2,5-6,51,53,96.2
91,Harrison Butker,KC,2022,PK,13,18,24,75.0,62,0-0,7-7,4-5,4-5,3-7,38,41,92.7
92,Randy Bullock,TEN,2022,PK,15,17,20,85.0,51,0-0,5-5,5-5,6-8,1-2,28,28,100.0
93,Matthew WrightKC,KC / PIT,2022,PK,6,15,18,83.3,59,0-0,1-1,6-7,6-8,2-2,15,15,100.0
94,Dustin Hopkins,LAC,2022,PK,5,9,10,90.0,43,0-0,2-2,6-6,1-2,0-0,12,12,100.0
95,Matt AmmendolaARI,ARI / KC,2022,PK,4,5,7,71.4,31,1-1,3-3,1-2,0-1,0-0,5,7,71.4
96,Rodrigo BlankenshipIND,IND / ARI,2022,PK,3,4,5,80.0,50,0-0,2-2,0-0,1-2,1-1,4,5,80.0
97,Taylor Bertolet,LAC,2022,PK,2,3,3,100.0,28,0-0,3-3,0-0,0-0,0-0,6,6,100.0
98,Austin Seibert,DET,2022,PK,3,3,5,60.0,48,0-0,0-0,1-1,2-3,0-1,12,12,100.0
99,Caleb Shudak,TEN,2022,PK,1,3,4,75.0,38,0-0,1-1,2-3,0-0,0-0,1,1,100.0
100,Tristan VizcainoARI,ARI / NE,2022,PK,3,2,2,100.0,46,0-0,0-0,1-1,1-1,0-0,3,3,100.0
101,Nick Sciba,PIT,2022,PK,1,2,2,100.0,38,0-0,1-1,1-1,0-0,0-0,1,1,100.0
102,Dominik Eberle,DET,2022,PK,1,1,1,100.0,49,0-0,0-0,0-0,1-1,0-0,2,4,50.0
103,Thomas Morstead,MIA,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
104,Johnny Hekker,CAR,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
105,Sam Martin,BUF,2022,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
106,Tress Way,WSH,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
107,Riley Dixon,LAR,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
108,Bradley Pinion,ATL,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
109,Josh Lambo,TEN,2022,PK,1,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,3,4,75.0
110,Logan Cooke,JAX,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
