,Name,Teams,Season,POS,GP,PUNTS,YDS,LNG,AVG,NET,PBLK,IN20,TB,FC,ATT,YDS.1,AVG.1
0,Ryan Stonehouse,TEN,2023,P,12,53,2812,74,53.1,43.9,1,28,10,7,22,243,11.0
1,Matt Haack,CLE,2023,P,1,3,155,56,51.7,41.7,0,0,0,0,2,30,15.0
2,Bryan Anger,DAL,2023,P,17,44,2262,63,51.4,44.9,0,17,2,13,24,247,10.3
3,Blake Gillikin,ARI,2023,P,13,51,2580,77,50.6,43.6,0,11,2,9,29,318,11.0
4,AJ Cole,LV,2023,P,17,75,3783,83,50.4,45.1,0,34,6,20,31,283,9.1
5,Jake Camarda,TB,2023,P,17,77,3854,74,50.1,41.8,0,26,9,10,38,455,12.0
6,Michael Dickson,SEA,2023,P,17,66,3303,73,50.0,44.1,0,25,8,12,34,232,6.8
7,Braden Mann,PHI,2023,P,15,44,2190,63,49.8,43.9,0,15,1,5,27,237,8.8
8,Corey Bojorquez,CLE,2023,P,16,87,4294,73,49.4,42.5,0,31,9,16,43,420,9.8
9,Ethan Evans,LAR,2023,P,17,63,3101,72,49.2,38.5,1,20,7,12,32,495,15.5
10,Thomas Morstead,NYJ,2023,P,17,99,4831,62,48.8,41.8,0,36,8,28,48,535,11.1
11,Ryan Wright,MIN,2023,P,17,59,2873,68,48.7,41.9,0,16,7,16,27,260,9.6
12,Rigoberto Sanchez,IND,2023,P,17,68,3281,69,48.3,42.3,1,21,0,13,38,360,9.5
13,Jordan Stout,BAL,2023,P,17,66,3158,67,47.8,39.2,1,28,5,17,32,433,13.5
14,Mitch Wishnowsky,SF,2023,P,17,52,2480,67,47.7,42.7,0,26,2,13,22,220,10.0
15,Cameron Johnston,HOU,2023,P,13,66,3145,74,47.7,44.0,0,30,3,25,26,183,7.0
16,Logan Cooke,JAX,2023,P,17,61,2893,65,47.4,43.8,0,29,4,22,22,143,6.5
17,Tommy Townsend,KC,2023,P,17,59,2776,68,47.1,41.8,0,20,5,20,20,207,10.4
18,Bradley Pinion,ATL,2023,P,17,75,3523,66,47.0,41.5,0,27,3,24,31,353,11.4
19,Bryce Baringer,NE,2023,P,17,98,4598,79,46.9,40.8,0,38,8,24,44,439,10.0
20,Johnny Hekker,CAR,2023,P,17,82,3838,69,46.8,43.0,0,25,5,26,31,210,6.8
