,Unnamed: 0,Name,Teams,Season,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
0,0.0,Tyreek Hill,MIA,2023,WR,16,119,171,1799,15.1,13,78,29,112.4,1,1,652,83
1,1.0,CeeDee Lamb,DAL,2023,WR,17,135,181,1749,13.0,12,92,29,102.9,3,2,680,80
2,2.0,Amon-Ra St. Brown,DET,2023,WR,16,119,164,1515,12.7,10,70,24,94.7,1,1,668,75
3,3.0,Puka Nacua,LAR,2023,WR,17,105,160,1486,14.2,6,80,25,87.4,1,0,640,68
4,4.0,A.J. Brown,PHI,2023,WR,17,106,158,1456,13.7,7,59,21,85.6,2,2,473,70
5,5.0,DJ Moore,CHI,2023,WR,17,96,136,1364,14.2,8,58,25,80.2,1,1,539,64
6,6.0,Brandon Aiyuk,SF,2023,WR,16,75,105,1342,17.9,7,76,28,83.9,1,1,382,61
7,7.0,Nico Collins,HOU,2023,WR,15,80,109,1297,16.2,8,75,25,86.5,1,0,549,53
8,8.0,Mike Evans,TB,2023,WR,17,79,136,1255,15.9,13,75,20,73.8,0,0,322,54
9,9.0,Amari Cooper,CLE,2023,WR,15,72,128,1250,17.4,5,75,21,83.3,2,1,271,50
10,10.0,Keenan Allen,LAC,2023,WR,13,108,150,1243,11.5,7,42,19,95.6,2,1,396,56
11,11.0,Ja'Marr Chase,CIN,2023,WR,16,100,145,1216,12.2,7,76,14,76.0,1,0,541,63
12,12.0,Stefon Diggs,BUF,2023,WR,17,107,160,1183,11.1,8,55,10,69.6,2,1,399,58
13,13.0,Michael Pittman Jr.,IND,2023,WR,16,109,156,1152,10.6,4,75,10,72.0,1,0,513,53
14,14.0,Davante Adams,LV,2023,WR,17,103,175,1144,11.1,8,46,13,67.3,0,0,336,59
15,15.0,George Pickens,PIT,2023,WR,17,63,106,1140,18.1,5,86,22,67.1,3,0,388,42
16,16.0,Chris Olave,NO,2023,WR,16,87,138,1123,12.9,5,51,16,70.2,0,0,347,57
17,17.0,DK Metcalf,SEA,2023,WR,16,66,119,1114,16.9,8,73,19,69.6,0,0,367,52
18,18.0,Justin Jefferson,MIN,2023,WR,10,68,100,1074,15.8,5,52,25,107.4,1,1,260,51
19,19.0,DeVonta Smith,PHI,2023,WR,16,81,112,1066,13.2,7,63,14,66.6,1,1,294,47
20,20.0,DeAndre Hopkins,TEN,2023,WR,17,75,137,1057,14.1,7,61,15,62.2,0,0,223,48
21,21.0,Garrett Wilson,NYJ,2023,WR,17,95,168,1042,11.0,3,68,11,61.3,2,2,327,47
22,22.0,Chris Godwin,TB,2023,WR,17,83,130,1024,12.3,2,47,14,60.2,0,0,385,53
23,23.0,George Kittle,SF,2023,TE,16,65,90,1020,15.7,6,66,18,63.8,0,0,483,42
24,24.0,Calvin Ridley,JAX,2023,WR,17,76,136,1016,13.4,8,59,17,59.8,1,0,194,49
25,25.0,Adam Thielen,CAR,2023,WR,17,103,137,1014,9.8,4,32,9,59.6,2,0,345,56
26,26.0,Jaylen Waddle,MIA,2023,WR,14,72,104,1014,14.1,4,60,12,72.4,0,0,421,47
27,27.0,Terry McLaurin,WSH,2023,WR,17,79,132,1002,12.7,4,48,15,58.9,0,0,350,47
28,28.0,Travis Kelce,KC,2023,TE,15,93,121,984,10.6,5,53,12,65.6,1,1,469,50
29,29.0,Evan Engram,JAX,2023,TE,17,114,143,963,8.4,4,34,9,56.6,3,2,516,47
30,30.0,T.J. Hockenson,MIN,2023,TE,15,95,127,960,10.1,5,29,13,64.0,1,1,336,48
31,31.0,Rashee Rice,KC,2023,WR,16,79,102,938,11.9,7,67,10,58.6,2,1,654,44
