,Name,Teams,Season,POS,GP,K ATT,K YDS,K AVG,K LNG,K TD,P ATT,P YDS,P AVG,P LNG,P TD,FC
0,Keisean Nixon,GB,2022,CB,17,35,1009,28.8,105,1,11,140,12.7,24,0,0
1,Kene Nwangwu,MIN,2022,RB,17,35,920,26.3,97,1,0,0,0.0,0,0,0
2,Jerome Ford,CLE,2022,RB,13,30,723,24.1,48,0,0,0,0.0,0,0,0
3,Dallis Flowers,IND,2022,CB,13,23,715,31.1,89,0,3,13,4.3,9,0,8
4,Marcus Jones,NE,2022,CB,15,27,645,23.9,46,0,29,362,12.5,84,1,8
5,Justin Jackson,DET,2022,RB,16,23,613,26.7,42,0,0,0,0.0,0,0,0
6,Velus Jones Jr.,CHI,2022,WR,12,22,607,27.6,63,0,5,35,7.0,19,0,1
7,Brandon Powell,LAR,2022,WR,17,30,605,20.2,34,0,24,177,7.4,22,0,19
8,Braxton Berrios,NYJ,2022,WR,17,26,600,23.1,42,0,21,240,11.4,22,0,28
9,Ray-Ray McCloud III,SF,2022,WR,17,26,599,23.0,39,0,33,356,10.8,35,0,21
10,Isiah Pacheco,KC,2022,RB,17,29,597,20.6,48,0,0,0,0.0,0,0,0
11,Gary Brightwell,NYG,2022,RB,17,26,555,21.3,47,0,0,0,0.0,0,0,0
12,Nyheim Hines,IND / BUF,2022,RB,16,19,554,29.2,101,2,27,264,9.8,28,0,14
13,Jamal Agnew,JAX,2022,WR,15,21,547,26.0,54,0,25,205,8.2,22,0,12
14,Ameer Abdullah,LV,2022,RB,17,26,543,20.9,33,0,0,0,0.0,0,0,0
15,Raheem Blackshear,CAR,2022,RB,13,19,513,27.0,66,0,6,55,9.2,21,0,0
16,KaVontae Turpin,DAL,2022,WR,17,21,508,24.2,63,0,29,303,10.4,52,0,26
17,Raheem Mostert,MIA,2022,RB,16,25,502,20.1,31,0,0,0,0.0,0,0,0
18,DeAndre Carter,LAC,2022,WR,17,26,497,19.1,33,0,29,339,11.7,28,0,17
19,Antonio Gibson,WSH,2022,RB,15,21,486,23.1,45,0,0,0,0.0,0,0,0
20,Isaiah Rodgers Sr.,IND,2022,CB,15,18,452,25.1,45,0,2,13,6.5,13,0,1
21,Steven Sims,PIT,2022,WR,12,17,434,25.5,89,0,19,105,5.5,24,0,13
22,Tremon Smith,HOU,2022,CB,17,19,417,21.9,32,0,4,53,13.3,26,0,2
23,Hassan Haskins,TEN,2022,RB,15,19,414,21.8,37,0,0,0,0.0,0,0,0
24,Boston Scott,PHI,2022,RB,15,15,406,27.1,66,0,0,0,0.0,0,0,0
25,Devin Duvernay,BAL,2022,WR,14,15,383,25.5,103,1,16,190,11.9,46,0,18
26,Trayveon Williams,CIN,2022,RB,8,16,356,22.3,42,0,0,0,0.0,0,0,0
27,Montrell Washington,DEN,2022,WR,15,18,340,18.9,29,0,32,271,8.5,30,0,14
28,Rashid Shaheed,NO,2022,WR,12,14,320,22.9,31,0,20,193,9.6,42,0,25
29,Avery Williams,ATL,2022,CB,17,16,313,19.6,30,0,18,292,16.2,56,0,19
30,Godwin Igwebuike,SEA,2022,RB,5,11,308,28.0,50,0,0,0,0.0,0,0,0
31,Dax Milne,WSH,2022,WR,15,15,300,20.0,33,0,40,311,7.8,19,0,22
32,Pharoh Cooper,ARI,2022,WR,5,12,288,24.0,33,0,9,117,13.0,28,0,6
33,Cordarrelle Patterson,ATL,2022,RB,13,9,284,31.6,103,1,0,0,0.0,0,0,0
34,DeeJay Dallas,SEA,2022,RB,15,12,270,22.5,30,0,14,102,7.3,20,0,11
35,Deven Thompkins,TB,2022,WR,5,12,263,21.9,54,0,6,61,10.2,14,0,10
36,Justice Hill,BAL,2022,RB,15,10,247,24.7,56,0,0,0,0.0,0,0,0
37,Rachaad White,TB,2022,RB,17,11,244,22.2,30,0,0,0,0.0,0,0,0
38,Trestan Ebner,CHI,2022,RB,17,10,226,22.6,30,0,0,0,0.0,0,0,1
39,Greg Dortch,ARI,2022,WR,16,11,218,19.8,31,0,26,172,6.6,18,0,5
40,Julius Chestnut,TEN,2022,RB,6,10,215,21.5,33,0,0,0,0.0,0,0,0
41,Chris Evans,CIN,2022,RB,12,10,211,21.1,29,0,0,0,0.0,0,0,0
42,Britain Covey,PHI,2022,WR,17,10,206,20.6,26,0,33,308,9.3,27,0,18
43,Eno Benjamin,ARI / HOU,2022,RB,15,8,180,22.5,44,0,0,0,0.0,0,0,0
44,Chester Rogers,CLE,2022,WR,3,8,170,21.3,28,0,4,18,4.5,7,0,4
45,Duke Johnson,BUF,2022,RB,1,7,157,22.4,43,0,0,0,0.0,0,0,0
46,Dee Eskridge,SEA,2022,WR,10,7,150,21.4,29,0,0,0,0.0,0,0,0
47,Maurice Alexander,DET,2022,WR,4,6,146,24.3,47,0,0,0,0.0,0,0,0
48,Khalil Herbert,CHI,2022,RB,13,5,146,29.2,50,0,0,0,0.0,0,0,0
49,Isaiah McKenzie,BUF,2022,WR,15,6,144,24.0,42,0,0,0,0.0,0,0,0
50,Deonte Harty,NO,2022,WR,4,6,137,22.8,33,0,3,8,2.7,12,0,7
51,Amari Rodgers,HOU / GB,2022,WR,16,6,122,20.3,34,0,20,139,6.9,20,0,15
52,Pierre Strong Jr.,NE,2022,RB,15,5,115,23.0,26,0,0,0,0.0,0,0,0
53,Chuba Hubbard,CAR,2022,RB,15,5,104,20.8,36,0,0,0,0.0,0,0,0
54,JaMycal Hasty,JAX,2022,RB,17,4,97,24.3,29,0,0,0,0.0,0,0,0
55,Jaret Patterson,WSH,2022,RB,3,4,97,24.3,27,0,0,0,0.0,0,0,0
