,Name,Teams,Season,POS,GP,RUSH,REC,RET,TD,FG,XP,2PT,PTS,PTS/G
0,Jason Myers,SEA,2022,PK,17,0,0,0,0,34,41,0,143,8.4
1,Justin Tucker,BAL,2022,PK,17,0,0,0,0,37,31,0,142,8.4
2,Brett Maher,DAL,2022,PK,17,0,0,0,0,29,50,0,137,8.1
3,Daniel Carlson,LV,2022,PK,17,0,0,0,0,34,35,0,137,8.1
4,Robbie Gould,SF,2022,PK,17,0,0,0,0,27,50,0,131,7.7
5,Younghoe Koo,ATL,2022,PK,17,0,0,0,0,32,33,0,129,7.6
6,Tyler Bass,BUF,2022,PK,16,0,0,0,0,27,48,0,129,8.1
7,Eddy Pineiro,CAR,2022,PK,17,0,0,0,0,33,30,0,129,7.6
8,Nick Folk,NE,2022,PK,17,0,0,0,0,32,32,0,128,7.5
9,Riley Patterson,JAX,2022,PK,17,0,0,0,0,30,36,0,126,7.4
10,Graham Gano,NYG,2022,PK,17,0,0,0,0,29,32,0,119,7.0
11,Jason Sanders,MIA,2022,PK,17,0,0,0,0,26,41,0,119,7.0
12,Greg Zuerlein,NYJ,2022,PK,17,0,0,0,0,30,28,0,118,6.9
13,Greg Joseph,MIN,2022,PK,17,0,0,0,0,26,40,0,118,6.9
14,Ryan Succop,TB,2022,PK,17,0,0,0,0,31,24,0,117,6.9
15,Matt Gay,LAR,2022,PK,17,0,0,0,0,28,31,0,115,6.8
16,Mason Crosby,GB,2022,PK,17,0,0,0,0,25,37,0,112,6.6
17,Evan McPherson,CIN,2022,PK,16,0,0,0,0,24,40,0,112,7.0
18,Ka'imi Fairbairn,HOU,2022,PK,17,0,0,0,0,29,24,0,111,6.5
19,Jake Elliott,PHI,2022,PK,16,0,0,0,0,20,51,0,111,6.9
20,Chase McLaughlin,IND,2022,PK,16,0,0,0,0,30,21,0,111,6.9
21,Brandon McManus,DEN,2022,PK,17,0,0,0,0,28,25,0,109,6.4
22,Austin Ekeler,LAC,2022,RB,17,13,5,0,18,0,0,0,108,6.4
23,Cade York,CLE,2022,PK,17,0,0,0,0,24,35,0,107,6.3
24,Michael Badgley,CHI / DET,2022,PK,13,0,0,0,0,24,33,0,105,8.1
25,Jamaal Williams,DET,2022,RB,17,17,0,0,17,0,0,1,104,6.1
26,Wil Lutz,NO,2022,PK,17,0,0,0,0,23,33,0,102,6.0
27,Joey Slye,WSH,2022,PK,17,0,0,0,0,25,24,0,99,5.8
28,Harrison Butker,KC,2022,PK,13,0,0,0,0,18,38,0,92,7.1
29,Cairo Santos,CHI,2022,PK,16,0,0,0,0,21,27,0,90,5.6
30,Cameron Dicker,LAC / PHI,2022,PK,11,0,0,0,0,21,24,0,87,7.9
31,Davante Adams,LV,2022,WR,17,0,14,0,14,0,0,0,84,4.9
32,Matt Prater,ARI,2022,PK,13,0,0,0,0,22,17,0,83,6.4
33,Jalen Hurts,PHI,2022,QB,15,13,0,0,13,0,0,2,82,5.5
34,Nick Chubb,CLE,2022,RB,17,12,1,0,13,0,0,1,80,4.7
35,Randy Bullock,TEN,2022,PK,15,0,0,0,0,17,28,0,79,5.3
36,Chris Boswell,PIT,2022,PK,12,0,0,0,0,20,18,0,78,6.5
37,Derrick Henry,TEN,2022,RB,16,13,0,0,13,0,0,0,78,4.9
38,Christian McCaffrey,SF / CAR,2022,RB,17,8,5,0,13,0,0,0,78,4.6
39,Travis Kelce,KC,2022,TE,17,0,12,0,12,0,0,1,74,4.4
40,Ezekiel Elliott,DAL,2022,RB,15,12,0,0,12,0,0,0,72,4.8
41,Tony Pollard,DAL,2022,RB,16,9,3,0,12,0,0,0,72,4.5
42,Josh Jacobs,LV,2022,RB,17,12,0,0,12,0,0,0,72,4.2
43,Stefon Diggs,BUF,2022,WR,16,0,11,0,11,0,0,0,66,4.1
44,George Kittle,SF,2022,TE,15,0,11,0,11,0,0,0,66,4.4
45,Miles Sanders,PHI,2022,RB,17,11,0,0,11,0,0,0,66,3.9
46,A.J. Brown,PHI,2022,WR,17,0,11,0,11,0,0,0,66,3.9
47,Jerick McKinnon,KC,2022,RB,17,1,9,0,10,0,0,1,62,3.6
48,Saquon Barkley,NYG,2022,RB,16,10,0,0,10,0,0,1,62,3.9
49,Dalvin Cook,MIN,2022,RB,17,8,2,0,10,0,0,0,60,3.5
50,Matthew Wright,KC / PIT,2022,PK,6,0,0,0,0,15,15,0,60,10.0
51,Najee Harris,PIT,2022,RB,17,7,3,0,10,0,0,0,60,3.5
52,Justin Jefferson,MIN,2022,WR,17,1,8,0,9,0,0,1,56,3.3
53,Cordarrelle Patterson,ATL,2022,RB,13,8,0,1,9,0,0,0,54,4.2
54,Taysom Hill,NO,2022,QB,16,7,2,0,9,0,0,0,54,3.4
55,Tyler Lockett,SEA,2022,WR,16,0,9,0,9,0,0,0,54,3.4
56,Amari Cooper,CLE,2022,WR,17,0,9,0,9,0,0,0,54,3.2
57,Joe Mixon,CIN,2022,RB,14,7,2,0,9,0,0,0,54,3.9
58,CeeDee Lamb,DAL,2022,WR,17,0,9,0,9,0,0,0,54,3.2
59,Christian Watson,GB,2022,WR,14,2,7,0,9,0,0,0,54,3.9
60,Ja'Marr Chase,CIN,2022,WR,12,0,9,0,9,0,0,0,54,4.5
61,Kenneth Walker III,SEA,2022,RB,15,9,0,0,9,0,0,0,54,3.6
62,D'Andre Swift,DET,2022,RB,14,5,3,0,8,0,0,1,50,3.6
63,James Conner,ARI,2022,RB,13,7,1,0,8,0,0,0,48,3.7
64,Tyreek Hill,MIA,2022,WR,17,1,7,0,8,0,0,0,48,2.8
65,Christian Kirk,JAX,2022,WR,17,0,8,0,8,0,0,0,48,2.8
66,Brandon Aiyuk,SF,2022,WR,17,0,8,0,8,0,0,0,48,2.8
67,Justin Fields,CHI,2022,QB,15,8,0,0,8,0,0,0,48,3.2
68,Jaylen Waddle,MIA,2022,WR,17,0,8,0,8,0,0,0,48,2.8
69,Aaron Jones,GB,2022,RB,17,2,5,0,7,0,0,1,44,2.6
70,Josh Allen,BUF,2022,QB,16,7,0,0,7,0,0,1,44,2.8
71,Tee Higgins,CIN,2022,WR,16,0,7,0,7,0,0,1,44,2.8
72,Jahan Dotson,WSH,2022,WR,12,0,7,0,7,0,0,1,44,3.7
73,Cooper Kupp,LAR,2022,WR,9,1,6,0,7,0,0,0,42,4.7
74,DJ Moore,CAR,2022,WR,17,0,7,0,7,0,0,0,42,2.5
75,Daniel Jones,NYG,2022,QB,16,7,0,0,7,0,0,0,42,2.6
76,Juwan Johnson,NO,2022,TE,16,0,7,0,7,0,0,0,42,2.6
77,AJ Dillon,GB,2022,RB,17,7,0,0,7,0,0,0,42,2.5
78,Cam Akers,LAR,2022,RB,15,7,0,0,7,0,0,0,42,2.8
79,DeVonta Smith,PHI,2022,WR,17,0,7,0,7,0,0,0,42,2.5
80,Gabe Davis,BUF,2022,WR,15,0,7,0,7,0,0,0,42,2.8
81,Cole Kmet,CHI,2022,TE,17,0,7,0,7,0,0,0,42,2.5
82,T.J. Hockenson,MIN / DET,2022,TE,17,0,6,0,6,0,0,2,40,2.4
83,Dustin Hopkins,LAC,2022,PK,5,0,0,0,0,9,12,0,39,7.8
84,Latavius Murray,NO / DEN,2022,RB,13,6,0,0,6,0,0,1,38,2.9
85,Adam Thielen,MIN,2022,WR,17,0,6,0,6,0,0,1,38,2.2
86,Jakobi Meyers,NE,2022,WR,14,0,6,0,6,0,0,1,38,2.7
87,Mike Evans,TB,2022,WR,15,0,6,0,6,0,0,0,36,2.4
88,Leonard Fournette,TB,2022,RB,16,3,3,0,6,0,0,0,36,2.3
89,Samaje Perine,CIN,2022,RB,16,2,4,0,6,0,0,0,36,2.3
90,Jeff Wilson Jr.,SF / MIA,2022,RB,16,5,1,0,6,0,0,0,36,2.3
91,Allen Lazard,GB,2022,WR,15,0,6,0,6,0,0,0,36,2.4
92,Dawson Knox,BUF,2022,TE,15,0,6,0,6,0,0,0,36,2.4
93,Mecole Hardman,KC,2022,WR,8,2,4,0,6,0,0,0,36,4.5
