name,team,opponent,week,season,isHome,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
Kyzir White,ARI,WSH,1,2023,True,9,5,0,1,0,0,0
K'Von Wallace,ARI,WSH,1,2023,True,7,3,0,0,2,0,0
Marco Wilson,ARI,WSH,1,2023,True,6,5,0,0,1,0,0
Jonathan Ledbetter,ARI,WSH,1,2023,True,6,3,1,0,0,1,0
Carlos Watkins,ARI,WSH,1,2023,True,5,3,1,1,0,1,0
Budda Baker,ARI,WSH,1,2023,True,5,3,0,0,0,0,0
Jalen Thompson,ARI,WSH,1,2023,True,5,3,0,0,0,0,0
Dennis Gardeck,ARI,WSH,1,2023,True,4,3,2,1,0,3,0
Jesse Luketa,ARI,WSH,1,2023,True,3,3,0,0,0,0,0
Kei'Trel Clark,ARI,WSH,1,2023,True,3,3,0,0,0,0,0
Victor Dimukeje,ARI,WSH,1,2023,True,3,2,1,1,0,1,0
L.J. Collier,ARI,WSH,1,2023,True,2,2,0,0,0,0,0
Kevin Strong,ARI,WSH,1,2023,True,2,2,0,1,1,0,0
Krys Barnes,ARI,WSH,1,2023,True,2,1,0,0,0,0,0
Zaven Collins,ARI,WSH,1,2023,True,2,0,0,0,1,0,0
Leki Fotu,ARI,WSH,1,2023,True,1,1,1,1,0,0,0
Zach Pascal,ARI,WSH,1,2023,True,1,1,0,0,0,0,0
Christian Matthew,ARI,WSH,1,2023,True,1,1,0,0,0,0,0
Antonio Hamilton Sr.,ARI,WSH,1,2023,True,1,0,0,0,0,0,0
Josh Woods,ARI,WSH,1,2023,True,1,0,0,0,1,0,0
Kris Boyd,ARI,WSH,1,2023,True,1,0,0,0,0,0,0
Cameron Thomas,ARI,WSH,1,2023,True,1,0,0,0,1,0,1
BJ Ojulari,ARI,WSH,1,2023,True,1,0,0,0,0,0,0
Kamren Curl,WSH,ARI,1,2023,False,10,6,0,1,1,0,0
Jamin Davis,WSH,ARI,1,2023,False,6,4,0,1,0,0,0
Kendall Fuller,WSH,ARI,1,2023,False,6,3,0,0,0,0,0
Montez Sweat,WSH,ARI,1,2023,False,5,4,1.5,2,0,1,0
Cody Barton,WSH,ARI,1,2023,False,5,3,0,0,0,0,0
Darrick Forrest,WSH,ARI,1,2023,False,5,2,0,0,0,0,0
Jonathan Allen,WSH,ARI,1,2023,False,4,3,1,2,0,3,0
Benjamin St-Juste,WSH,ARI,1,2023,False,4,3,0,0,0,0,0
Emmanuel Forbes Jr.,WSH,ARI,1,2023,False,3,3,0,1,1,0,0
Jeremy Reaves,WSH,ARI,1,2023,False,3,2,0,0,0,0,0
Casey Toohill,WSH,ARI,1,2023,False,3,2,0,1,0,0,0
James Smith-Williams,WSH,ARI,1,2023,False,3,1,0,0,0,1,0
Percy Butler,WSH,ARI,1,2023,False,3,1,0,0,1,0,0
Daron Payne,WSH,ARI,1,2023,False,2,2,0,2,0,0,0
Abdullah Anderson,WSH,ARI,1,2023,False,2,1,0.5,1,0,1,0
Terry McLaurin,WSH,ARI,1,2023,False,1,1,0,0,0,0,0
Dyami Brown,WSH,ARI,1,2023,False,1,1,0,0,0,0,0
David Mayo,WSH,ARI,1,2023,False,1,0,0,0,0,0,0
Christian Holmes,WSH,ARI,1,2023,False,1,0,0,0,0,0,0
John Ridgeway III,WSH,ARI,1,2023,False,1,0,0,0,0,0,0
Fabian Moreau,NYG,JAX,7,2022,True,9,7,0,0,2,0,0
