name,espnId,season,INT,TD,YDS
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2023,1.0,0.0,7.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2023,1.0,0.0,30.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0
Damontae Kazee,2976099,2022,1.0,0.0,2.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0
Damontae Kazee,2976099,2022,1.0,0.0,12.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,1.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,1.0,0.0,8.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,1.0,1.0,30.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Brandin Echols,4567979,2021,1.0,1.0,20.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Brandin Echols,4567979,2021,1.0,0.0,30.0
Brandin Echols,4567979,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2023,0.0,0.0,0.0
Khyiris Tonga,4256074,2022,0.0,0.0,0.0
Khyiris Tonga,4256074,2022,0.0,0.0,0.0
Khyiris Tonga,4256074,2022,0.0,0.0,0.0
Khyiris Tonga,4256074,2022,0.0,0.0,0.0
Khyiris Tonga,4256074,2022,0.0,0.0,0.0
Khyiris Tonga,4256074,2022,0.0,0.0,0.0
Khyiris Tonga,4256074,2022,0.0,0.0,0.0
Khyiris Tonga,4256074,2022,0.0,0.0,0.0
Khyiris Tonga,4256074,2022,0.0,0.0,0.0
Khyiris Tonga,4256074,2022,0.0,0.0,0.0
Khyiris Tonga,4256074,2022,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Khyiris Tonga,4256074,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,1.0,0.0,5.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2023,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2022,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Emmanuel Ogbah,2977740,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2023,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2022,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Zach Cunningham,3051750,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2022,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Chris Claybrooks,4371737,2021,0.0,0.0,0.0
Bryce Thompson,4369838,2022,0.0,0.0,0.0
