name,espnId,season,FUM,LST,FF,FR,YDS,FTD,GP,2PTR,OFTD,DFTD
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Damontae Kazee,2976099,2021,1.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,1.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Damontae Kazee,2976099,2021,0.0,0.0,0.0,0.0,1.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandin Echols,4567979,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
