name,team,opponent,week,season,isHome,INT,YDS,TD
Jordan Poyer,BUF,WSH,3,2021,False,1,26,0
Micah Hyde,BUF,WSH,3,2021,False,1,11,0
Trayvon Mullen,LV,PIT,2,2021,True,1,18,0
Greg Stroman Jr.,CHI,WSH,5,2023,True,1,0,0
Fred Warner,SF,CLE,6,2023,True,1,32,0
Deommodore Lenoir,SF,CLE,6,2023,True,1,28,0
Martin Emerson Jr.,CLE,SF,6,2023,False,1,14,0
Jalen Pitre,HOU,CHI,3,2022,True,2,22,0
Roquan Smith,CHI,HOU,3,2022,False,1,18,0
Eddie Jackson,CHI,HOU,3,2022,False,1,0,0
Tashaun Gipson Sr.,SF,SEA,2,2022,False,1,14,0
Charvarius Ward,SF,SEA,2,2022,False,1,9,0
Minkah Fitzpatrick,PIT,CIN,12,2021,True,1,18,0
Mike Hilton,CIN,PIT,12,2021,False,1,24,1
Eli Apple,CIN,PIT,12,2021,False,1,50,0
Jalen Thompson,ARI,NYG,2,2023,False,1,35,0
Jaylinn Hawkins,ATL,NYJ,5,2021,False,1,11,0
Landon Collins,WSH,PHI,15,2021,True,1,0,0
Bobby McCain,WSH,TB,10,2021,False,1,19,0
William Jackson III,WSH,TB,10,2021,False,1,0,0
Isaiah Simmons,NYG,WSH,11,2023,True,1,54,1
Darnay Holmes,NYG,WSH,11,2023,True,1,2,0
Nick McCloud,NYG,WSH,11,2023,True,1,0,0
Ashtyn Davis,NYJ,NE,18,2023,True,1,14,0
Tony Adams,NYJ,NE,18,2023,True,1,0,0
Juan Thornhill,KC,SEA,16,2022,False,1,0,0
Damontae Kazee,DAL,LAC,2,2021,True,1,0,0
Trevon Diggs,DAL,LAC,2,2021,True,1,0,0
Asante Samuel Jr.,LAC,DAL,2,2021,False,1,26,0
Cobie Durant,LAR,DEN,16,2022,False,2,100,1
Bobby Wagner,LAR,DEN,16,2022,False,1,13,0
Jalen Ramsey,LAR,DEN,16,2022,False,1,0,0
Xavier McKinney,NYG,LV,9,2021,False,2,41,1
Deonte Banks,NYG,WSH,7,2023,False,1,6,0
Darnell Savage,GB,MIN,17,2022,False,1,75,1
Adrian Amos,GB,MIN,17,2022,False,1,26,0
Rudy Ford,GB,MIN,17,2022,False,1,19,0
Tremaine Edmunds,CHI,CLE,15,2023,True,1,45,1
Tyrique Stevenson,CHI,CLE,15,2023,True,1,34,0
Eddie Jackson,CHI,CLE,15,2023,True,1,27,0
D'Anthony Bell,CLE,CHI,15,2023,False,1,6,0
Jeremiah Owusu-Koramoah,CLE,CHI,15,2023,False,1,0,0
Donovan Wilson,DAL,WSH,18,2023,True,1,0,0
DaRon Bland,DAL,WSH,18,2023,True,1,0,0
Quan Martin,WSH,DAL,18,2023,False,1,7,0
Darius Slay Jr.,PHI,CAR,5,2021,True,2,21,0
Steven Nelson,PHI,CAR,5,2021,True,1,4,0
Donte Jackson,CAR,PHI,5,2021,False,1,0,0
Julian Love,NYG,KC,8,2021,True,1,0,0
Willie Gay,KC,NYG,8,2021,False,1,13,0
Isaiah Pola-Mao,LV,MIA,11,2023,True,1,0,0
Jalen Ramsey,MIA,LV,11,2023,False,2,3,0
Jaelan Phillips,MIA,LV,11,2023,False,1,5,0
Patrick Peterson,MIN,CHI,18,2022,True,1,28,0
Duke Shelley,MIN,CHI,18,2022,True,1,0,0
Greg Stroman Jr.,CHI,MIN,18,2022,False,1,10,0
Chandon Sullivan,PIT,CLE,11,2023,True,1,0,0
DaRon Bland,DAL,NYG,1,2023,True,1,22,1
Stephon Gilmore,DAL,NYG,1,2023,True,1,0,0
Jordan Poyer,BUF,NO,12,2021,True,1,18,0
Bradley Roby,NO,BUF,12,2021,False,1,2,0
Kwon Alexander,NO,BUF,12,2021,False,1,0,0
Kyle Dugger,NE,CLE,10,2021,False,1,37,0
Tashaun Gipson Sr.,SF,LV,17,2022,True,1,56,0
Drake Jackson,SF,LV,17,2022,True,1,0,0
Amik Robertson,LV,SF,17,2022,False,1,0,0
Malik Hooker,DAL,WSH,18,2022,True,1,0,0
Kendall Fuller,WSH,DAL,18,2022,False,1,29,1
Carlos Watkins,DAL,NO,13,2021,True,1,29,1
Damontae Kazee,DAL,NO,13,2021,True,1,8,0
Jayron Kearse,DAL,NO,13,2021,True,1,0,0
Trevon Diggs,DAL,NO,13,2021,True,1,0,0
Marshon Lattimore,NO,DAL,13,2021,False,1,15,0
Robert Alford,ARI,CLE,6,2021,True,1,23,0
Sebastian Joseph-Day,LAC,DEN,18,2022,True,1,4,0
Travon Walker,JAX,WSH,1,2022,True,1,9,0
Tyson Campbell,JAX,WSH,1,2022,True,1,3,0
Darrick Forrest,WSH,JAX,1,2022,False,1,1,0
Tyson Campbell,JAX,TEN,18,2022,False,1,29,0
Jimmie Ward,SF,ARI,11,2022,True,1,0,0
Samuel Womack III,SF,ARI,11,2022,True,1,0,0
Levi Wallace,PIT,BUF,5,2022,True,1,0,0
Kaiir Elam,BUF,PIT,5,2022,False,1,0,0
Donte Jackson,CAR,LAR,6,2022,True,1,30,1
Nick Scott,LAR,CAR,6,2022,False,1,0,0
Quandre Diggs,SEA,JAX,8,2021,False,1,9,0
Reed Blankenship,PHI,NYG,18,2023,True,1,0,0
Xavier McKinney,NYG,PHI,18,2023,False,2,4,0
Garrett Williams,ARI,SEA,7,2023,True,1,0,0
Roger McCreary,TEN,TB,10,2023,True,1,18,0
Antoine Winfield Jr.,TB,TEN,10,2023,False,1,28,0
Arthur Maulet,BAL,LAC,12,2023,True,1,0,0
Ahkello Witherspoon,LAR,PHI,5,2023,False,1,0,0
Ryan Neal,SEA,LAC,7,2022,True,1,13,0
Kenneth Murray Jr.,LAC,SEA,7,2022,False,1,16,0
Alohi Gilman,LAC,BUF,16,2023,False,1,0,0
Christian Izien,TB,MIN,1,2023,True,1,14,0
Damien Wilson,JAX,IND,18,2021,False,1,1,0
Kevin Byard III,PHI,KC,11,2023,True,1,0,0
L'Jarius Sneed,KC,PHI,11,2023,False,1,0,0
