name,team,opponent,week,season,isHome,NO,YDS,AVG,LONG,TD
Antonio Gibson,WSH,ARI,1,2023,False,1,21,21.0,21,0
JaMycal Hasty,JAX,NYG,7,2022,False,3,68,22.7,27,0
DeAndre Carter,WSH,BUF,3,2021,True,2,33,16.5,21,0
Kylin Hill,GB,CHI,6,2021,True,1,23,23.0,23,0
Jakeem Grant Sr.,CHI,GB,6,2021,False,3,83,27.7,30,0
Artavis Pierce,CHI,GB,6,2021,False,1,27,27.0,27,0
Kylin Hill,GB,SF,3,2021,True,1,21,21.0,21,0
Trenton Cannon,SF,GB,3,2021,False,3,104,34.7,68,0
Raheem Mostert,MIA,SF,13,2022,True,1,25,25.0,25,0
Durham Smythe,MIA,SF,13,2022,True,1,9,9.0,9,0
Ray-Ray McCloud III,SF,MIA,13,2022,False,2,50,25.0,31,0
DeAndre Carter,WSH,PHI,15,2021,True,2,67,33.5,39,0
Kenneth Gainwell,PHI,WSH,15,2021,False,3,71,23.7,31,0
DeeJay Dallas,SEA,TEN,16,2023,True,3,74,24.7,30,0
Chris Moore,TEN,SEA,16,2023,False,1,26,26.0,26,0
Raheem Blackshear,CAR,CHI,10,2023,True,1,27,27.0,27,0
Tyler Scott,CHI,CAR,10,2023,False,1,24,24.0,24,0
Zonovan Knight,NYJ,CHI,12,2022,False,1,18,18.0,18,0
Marcus Jones,NE,ARI,14,2022,True,2,47,23.5,25,0
Pharoh Cooper,ARI,NE,14,2022,False,5,134,26.8,30,0
Deven Thompkins,TB,ATL,18,2022,True,1,24,24.0,24,0
Avery Williams,ATL,TB,18,2022,False,1,17,17.0,17,0
Velus Jones Jr.,CHI,LAC,8,2023,True,1,24,24.0,24,0
Roschon Johnson,CHI,LAC,8,2023,True,1,0,0.0,0,0
DeeJay Dallas,SEA,GB,10,2021,True,3,79,26.3,32,0
Malik Taylor,GB,SEA,10,2021,False,1,32,32.0,32,0
Richie James,KC,JAX,2,2023,True,1,14,14.0,14,0
Jaelon Darden,TB,CHI,7,2021,False,1,17,17.0,17,0
Deven Thompkins,TB,SF,11,2023,True,3,55,18.3,23,0
Ray-Ray McCloud III,SF,TB,11,2023,False,2,40,20.0,21,0
Jordan Mason,SF,TB,11,2023,False,1,12,12.0,12,0
Laviska Shenault Jr.,CAR,SEA,3,2023,True,1,37,37.0,37,0
DeeJay Dallas,SEA,CAR,3,2023,False,2,55,27.5,29,0
Joshua Kelley,LAC,LV,1,2022,False,1,15,15.0,15,0
Deonte Harty,NO,BUF,12,2021,False,4,61,15.3,18,0
Jalen Reagor,PHI,NYJ,13,2021,True,2,26,13.0,21,0
Boston Scott,PHI,NYJ,13,2021,True,1,13,13.0,13,0
Braxton Berrios,NYJ,PHI,13,2021,False,3,139,46.3,79,0
Jamal Agnew,JAX,IND,10,2021,True,5,101,20.2,25,0
Isaiah Rodgers Sr.,IND,JAX,10,2021,False,2,46,23.0,27,0
Ashton Dulin,IND,JAX,10,2021,False,1,26,26.0,26,0
Mohamed Ibrahim,DET,BAL,7,2023,True,1,22,22.0,22,0
Khalil Dorsey,DET,BAL,7,2023,True,1,19,19.0,19,0
Kene Nwangwu,MIN,GB,17,2022,True,5,141,28.2,39,0
Keisean Nixon,GB,MIN,17,2022,False,1,105,105.0,105,1
Ty Chandler,MIN,CAR,4,2023,True,2,55,27.5,33,0
Laviska Shenault Jr.,CAR,MIN,4,2023,False,1,24,24.0,24,0
Ray-Ray McCloud III,SF,SEA,15,2022,True,2,67,33.5,39,0
Godwin Igwebuike,SEA,SF,15,2022,False,3,83,27.7,31,0
Parris Campbell,NYG,DAL,10,2023,True,1,36,36.0,36,0
Rico Dowdle,DAL,NYG,10,2023,False,1,11,11.0,11,0
Raheem Blackshear,CAR,IND,9,2023,False,1,46,46.0,46,0
Tylan Wallace,BAL,SF,16,2023,True,1,26,26.0,26,0
Justice Hill,BAL,SF,16,2023,True,1,18,18.0,18,0
Deebo Samuel Sr.,SF,BAL,16,2023,False,2,52,26.0,34,0
Ronnie Bell,SF,BAL,16,2023,False,1,0,0.0,0,0
Chris Evans,CIN,CLE,18,2021,True,2,58,29.0,29,0
Ja'Marcus Bradley,CLE,CIN,18,2021,False,2,49,24.5,25,0
Chester Rogers,TEN,SEA,2,2021,True,6,100,16.7,19,0
DeeJay Dallas,SEA,TEN,2,2021,False,3,30,10.0,18,0
Amari Rodgers,GB,MIN,1,2022,True,1,14,14.0,14,0
Kene Nwangwu,MIN,GB,1,2022,False,1,25,25.0,25,0
Antonio Gibson,WSH,SEA,10,2023,True,5,133,26.6,33,0
Velus Jones Jr.,CHI,DAL,8,2022,True,1,22,22.0,22,0
KaVontae Turpin,DAL,CHI,8,2022,False,1,21,21.0,21,0
Jamal Agnew,JAX,IND,1,2023,True,1,20,20.0,20,0
Dallis Flowers,IND,JAX,1,2023,False,1,19,19.0,19,0
Greg Dortch,ARI,PIT,13,2023,True,1,24,24.0,24,0
Godwin Igwebuike,PIT,ARI,13,2023,False,1,26,26.0,26,0
Raheem Mostert,MIA,DET,8,2022,True,1,13,13.0,13,0
Maurice Alexander,DET,MIA,8,2022,False,1,17,17.0,17,0
Tyron Johnson,LV,KC,14,2021,True,4,73,18.3,29,0
Byron Pringle,KC,LV,14,2021,False,1,24,24.0,24,0
Avery Williams,ATL,TB,2,2021,True,4,59,14.8,19,0
Cordarrelle Patterson,ATL,TB,2,2021,True,1,27,27.0,27,0
Jaydon Mickens,TB,ATL,2,2021,False,1,24,24.0,24,0
Scotty Miller,TB,ATL,2,2021,False,1,19,19.0,19,0
Giovani Bernard,TB,ATL,2,2021,False,1,16,16.0,16,0
Steven Sims,HOU,TEN,15,2023,True,3,71,23.7,29,0
Chris Moore,TEN,HOU,15,2023,False,1,19,19.0,19,0
Marvin Mims Jr.,DEN,MIA,3,2023,True,2,121,60.5,99,1
Ameer Abdullah,LV,PIT,16,2022,True,3,50,16.7,23,0
Benny Snell Jr.,PIT,LV,16,2022,False,1,15,15.0,15,0
