name,team,opponent,week,season,isHome,FG,PCT,LONG,XP,PTS
Dustin Hopkins,WSH,BUF,3,2021,True,0/0,0.0,0,3/3,3
Tyler Bass,BUF,WSH,3,2021,False,3/3,100.0,48,4/4,13
Matthew Wright,JAX,NYJ,16,2021,True,3/3,100.0,45,0/0,9
Eddy Pineiro,NYJ,JAX,16,2021,False,2/2,100.0,42,2/3,8
Matthew Wright,JAX,LAR,13,2021,True,0/0,0.0,0,1/1,1
Matt Gay,LAR,JAX,13,2021,False,3/3,100.0,44,4/4,13
Daniel Carlson,LV,PIT,2,2021,True,4/4,100.0,46,2/2,14
Chris Boswell,PIT,LV,2,2021,False,1/1,100.0,56,2/2,5
Cairo Santos,CHI,WSH,5,2023,True,4/4,100.0,43,4/4,16
Joey Slye,WSH,CHI,5,2023,False,2/3,67.0,51,0/0,6
Jake Moody,SF,CLE,6,2023,True,1/3,33.0,25,2/2,5
Dustin Hopkins,CLE,SF,6,2023,False,4/5,80.0,50,1/1,13
Robbie Gould,SF,PHI,2,2021,True,1/1,100.0,46,2/2,5
Jake Elliott,PHI,SF,2,2021,False,1/2,50.0,45,0/0,3
Ka'imi Fairbairn,HOU,CHI,3,2022,True,2/2,100.0,39,2/2,8
Cairo Santos,CHI,HOU,3,2022,False,3/3,100.0,50,2/2,11
Michael Badgley,DET,CAR,16,2022,True,1/1,100.0,34,2/2,5
Eddy Pineiro,CAR,DET,16,2022,False,3/3,100.0,40,4/4,13
Jason Myers,SEA,SF,2,2022,True,0/0,0.0,0,1/1,1
Robbie Gould,SF,SEA,2,2022,False,2/3,67.0,33,3/3,9
Chris Boswell,PIT,CIN,12,2021,True,1/1,100.0,40,1/1,4
Evan McPherson,CIN,PIT,12,2021,False,2/2,100.0,51,5/5,11
Graham Gano,NYG,ARI,2,2023,True,1/1,100.0,34,4/4,7
Matt Prater,ARI,NYG,2,2023,False,2/3,67.0,44,2/2,8
Evan McPherson,CIN,KC,17,2023,True,1/1,100.0,34,2/2,5
Harrison Butker,KC,CIN,17,2023,False,6/6,100.0,54,1/1,19
Matt Ammendola,NYJ,ATL,5,2021,True,2/2,100.0,49,0/1,6
Younghoe Koo,ATL,NYJ,5,2021,False,2/2,100.0,52,3/3,9
Brian Johnson,WSH,PHI,15,2021,True,1/1,100.0,22,2/2,5
Jake Elliott,PHI,WSH,15,2021,False,2/2,100.0,37,3/3,9
Ryan Succop,TB,WSH,10,2021,True,2/2,100.0,31,1/2,7
Joey Slye,WSH,TB,10,2021,False,3/3,100.0,46,2/2,11
Randy Bullock,NYG,WSH,11,2023,True,1/1,100.0,36,4/4,7
Joey Slye,WSH,NYG,11,2023,False,2/2,100.0,42,1/2,7
Greg Zuerlein,NYJ,NE,18,2023,True,3/4,75.0,40,0/0,9
Chad Ryland,NE,NYJ,18,2023,False,1/1,100.0,30,0/0,3
Ryan Succop,TB,PIT,6,2022,True,4/4,100.0,54,0/0,12
Chris Boswell,PIT,TB,6,2022,False,2/2,100.0,55,2/2,8
Jason Myers,SEA,KC,16,2022,True,1/1,100.0,22,1/1,4
Harrison Butker,KC,SEA,16,2022,False,1/1,100.0,47,3/3,6
Greg Zuerlein,DAL,LAC,2,2021,True,2/2,100.0,56,2/2,8
Tristan Vizcaino,LAC,DAL,2,2021,False,3/4,75.0,46,0/0,9
Jason Myers,SEA,TEN,16,2023,True,2/2,100.0,28,2/2,8
Nick Folk,TEN,SEA,16,2023,False,1/1,100.0,33,2/2,5
Brandon McManus,DEN,LAR,16,2022,True,2/2,100.0,54,0/0,6
Matt Gay,LAR,DEN,16,2022,False,3/3,100.0,55,6/6,15
Harrison Butker,KC,LV,12,2023,True,1/1,100.0,32,4/4,7
Daniel Carlson,LV,KC,12,2023,False,1/2,50.0,34,2/2,5
Daniel Carlson,LV,NYG,9,2021,True,3/4,75.0,32,1/1,10
Graham Gano,NYG,LV,9,2021,False,3/3,100.0,38,2/2,11
Joey Slye,WSH,NYG,7,2023,True,0/1,0.0,0,1/1,1
Graham Gano,NYG,WSH,7,2023,False,0/1,0.0,0,2/2,2
Justin Tucker,BAL,JAX,12,2022,True,4/5,80.0,55,1/1,13
Riley Patterson,JAX,BAL,12,2022,False,2/2,100.0,29,2/2,8
Greg Joseph,MIN,GB,17,2022,True,1/3,33.0,21,2/2,5
Mason Crosby,GB,MIN,17,2022,False,2/2,100.0,56,5/5,11
