name,team,opponent,week,season,isHome,NO,YDS,AVG,LONG,TD
Isaiah McKenzie,BUF,WSH,3,2021,False,3,26,8.7,15,0
Jaydon Mickens,JAX,NYJ,16,2021,True,1,4,4.0,4,0
Braxton Berrios,NYJ,JAX,16,2021,False,1,12,12.0,12,0
Hunter Renfrow,LV,PIT,2,2021,True,2,26,13.0,16,0
Ray-Ray McCloud III,PIT,LV,2,2021,False,2,21,10.5,15,0
Trent Taylor,CHI,WSH,5,2023,True,2,17,8.5,11,0
Jamison Crowder,WSH,CHI,5,2023,False,1,20,20.0,20,0
Ray-Ray McCloud III,SF,CLE,6,2023,True,2,13,6.5,13,0
Jaelon Darden,CLE,SF,6,2023,False,4,39,9.8,11,0
Donovan Peoples-Jones,CLE,SF,6,2023,False,1,5,5.0,5,0
Brandon Aiyuk,SF,PHI,2,2021,True,1,13,13.0,13,0
Jalen Reagor,PHI,SF,2,2021,False,2,13,6.5,11,0
Desmond King II,HOU,CHI,3,2022,True,1,31,31.0,31,0
Dante Pettis,CHI,HOU,3,2022,False,2,1,0.5,1,0
Raheem Blackshear,CAR,DET,16,2022,False,1,11,11.0,11,0
Shi Smith,CAR,DET,16,2022,False,3,0,0.0,0,0
Xavier Crawford,SEA,SF,2,2022,True,1,0,0.0,0,0
Ray-Ray McCloud III,SF,SEA,2,2022,False,3,23,7.7,14,0
Cameron Sutton,PIT,CIN,12,2021,True,2,3,1.5,3,0
Darius Phillips,CIN,PIT,12,2021,False,2,17,8.5,17,0
Eric Gray,NYG,ARI,2,2023,True,1,14,14.0,14,0
Greg Dortch,ARI,NYG,2,2023,False,1,0,0.0,0,0
Charlie Jones,CIN,KC,17,2023,True,1,1,1.0,1,0
Richie James,KC,CIN,17,2023,False,2,37,18.5,27,0
Olamide Zaccheaus,ATL,NYJ,5,2021,False,2,19,9.5,15,0
Jalen Reagor,PHI,WSH,15,2021,False,3,22,7.3,11,0
Jaelon Darden,TB,WSH,10,2021,True,2,14,7.0,10,0
DeAndre Carter,WSH,TB,10,2021,False,1,10,10.0,10,0
Gunner Olszewski,NYG,WSH,11,2023,True,2,16,8.0,9,0
Jamison Crowder,WSH,NYG,11,2023,False,4,0,0.0,3,0
Xavier Gipson,NYJ,NE,18,2023,True,6,48,8.0,13,0
Myles Bryant,NE,NYJ,18,2023,False,3,30,10.0,15,0
Jaelon Darden,TB,PIT,6,2022,True,3,14,4.7,6,0
Steven Sims,PIT,TB,6,2022,False,3,23,7.7,24,0
DeeJay Dallas,SEA,KC,16,2022,True,2,12,6.0,6,0
Kadarius Toney,KC,SEA,16,2022,False,2,18,9.0,9,0
Chris Lammons,KC,SEA,16,2022,False,1,0,0.0,0,0
KJ Hill Jr.,LAC,DAL,2,2021,False,1,6,6.0,6,0
Mason Kinsey,TEN,SEA,16,2023,False,1,11,11.0,11,0
Brandon Powell,LAR,DEN,16,2022,False,1,12,12.0,12,0
Richie James,KC,LV,12,2023,True,1,10,10.0,10,0
DeAndre Carter,LV,KC,12,2023,False,1,13,13.0,13,0
Hunter Renfrow,LV,NYG,9,2021,True,1,5,5.0,5,0
Pharoh Cooper,NYG,LV,9,2021,False,2,26,13.0,14,0
Jamison Crowder,WSH,NYG,7,2023,True,6,33,5.5,17,0
Sterling Shepard,NYG,WSH,7,2023,False,3,10,3.3,5,0
Eric Gray,NYG,WSH,7,2023,False,1,0,0.0,0,0
Jalen Reagor,MIN,GB,17,2022,True,1,0,0.0,0,0
Randall Cobb,GB,MIN,17,2022,False,1,15,15.0,15,0
Keisean Nixon,GB,MIN,17,2022,False,1,10,10.0,10,0
Trent Taylor,CHI,CLE,15,2023,True,5,23,4.6,10,0
James Proche II,CLE,CHI,15,2023,False,4,23,5.8,14,0
Jamal Agnew,JAX,IND,6,2022,True,1,8,8.0,8,0
Keke Coutee,IND,JAX,6,2022,False,1,19,19.0,19,0
Nick Cross,IND,JAX,6,2022,False,1,0,0.0,0,0
Braxton Berrios,NYJ,BUF,14,2022,True,2,23,11.5,13,0
Nyheim Hines,BUF,NYJ,14,2022,False,3,42,14.0,23,0
KaVontae Turpin,DAL,WSH,18,2023,True,1,4,4.0,4,0
Jalen Reagor,PHI,CAR,5,2021,True,1,22,22.0,22,0
Alex Erickson,CAR,PHI,5,2021,False,3,39,13.0,22,0
Dante Pettis,NYG,KC,8,2021,True,1,0,0.0,0,0
Kadarius Toney,NYG,KC,8,2021,True,1,0,0.0,0,0
Kalif Raymond,DET,JAX,13,2022,False,2,20,10.0,11,0
DeAndre Carter,LV,MIA,11,2023,True,1,12,12.0,12,0
Cedrick Wilson Jr.,MIA,LV,11,2023,False,3,30,10.0,14,0
Jalen Reagor,MIN,CHI,18,2022,True,1,4,4.0,4,0
Dante Pettis,CHI,MIN,18,2022,False,1,-2,-2.0,-2,0
Britain Covey,PHI,NYG,14,2022,True,4,29,7.3,16,0
Calvin Austin III,PIT,CLE,11,2023,True,3,51,17.0,21,0
James Proche II,CLE,PIT,11,2023,False,3,37,12.3,21,0
Ray-Ray McCloud III,SF,SEA,15,2022,True,2,17,8.5,9,0
Richie James,NYG,JAX,7,2022,True,1,2,2.0,2,0
KaVontae Turpin,DAL,NYG,1,2023,True,2,17,8.5,10,0
Eric Gray,NYG,DAL,1,2023,False,1,7,7.0,7,0
Marquez Stevenson,BUF,NO,12,2021,True,5,49,9.8,18,0
Deonte Harty,NO,BUF,12,2021,False,1,12,12.0,12,0
