name,team,opponent,week,season,isHome,NO,YDS,AVG,TB,In 20,LONG
Nolan Cooney,ARI,WSH,1,2023,True,5,235,47.0,0,2,56
Tress Way,WSH,ARI,1,2023,False,6,266,44.3,0,3,59
Jamie Gillan,NYG,JAX,7,2022,True,2,80,40.0,1,0,46
Logan Cooke,JAX,NYG,7,2022,False,2,106,53.0,0,0,57
Tress Way,WSH,BUF,3,2021,True,5,235,47.0,1,1,55
Matt Haack,BUF,WSH,3,2021,False,2,97,48.5,0,2,60
Corey Bojorquez,GB,CHI,6,2021,True,3,168,56.0,1,0,82
Pat O'Donnell,CHI,GB,6,2021,False,4,161,40.3,0,3,48
Corey Bojorquez,GB,SF,3,2021,True,3,164,54.7,0,1,63
Mitch Wishnowsky,SF,GB,3,2021,False,4,213,53.3,1,3,59
Thomas Morstead,MIA,SF,13,2022,True,4,206,51.5,0,0,63
Mitch Wishnowsky,SF,MIA,13,2022,False,4,178,44.5,0,2,56
Tress Way,WSH,PHI,15,2021,True,5,240,48.0,0,1,60
Arryn Siposs,PHI,WSH,15,2021,False,2,75,37.5,1,1,41
Michael Dickson,SEA,TEN,16,2023,True,3,134,44.7,0,2,63
Ty Zentner,TEN,SEA,16,2023,False,3,117,39.0,0,2,47
Johnny Hekker,CAR,CHI,10,2023,True,6,272,45.3,0,3,55
Trenton Gill,CHI,CAR,10,2023,False,6,280,46.7,1,3,62
Trenton Gill,CHI,NYJ,12,2022,True,5,244,48.8,0,0,61
Braden Mann,NYJ,CHI,12,2022,False,2,118,59.0,0,1,62
Michael Palardy,NE,ARI,14,2022,True,6,253,42.2,2,2,49
Andy Lee,ARI,NE,14,2022,False,2,97,48.5,0,1,53
Jake Camarda,TB,ATL,18,2022,True,5,253,50.6,1,2,66
Bradley Pinion,ATL,TB,18,2022,False,3,154,51.3,0,1,53
Trenton Gill,CHI,LAC,8,2023,True,3,126,42.0,0,1,47
JK Scott,LAC,CHI,8,2023,False,2,88,44.0,0,1,63
Michael Dickson,SEA,GB,10,2021,True,6,274,45.7,0,4,61
Corey Bojorquez,GB,SEA,10,2021,False,3,140,46.7,0,1,50
Ethan Evans,LAR,ARI,12,2023,True,2,73,36.5,1,1,41
Blake Gillikin,ARI,LAR,12,2023,False,5,228,45.6,0,0,60
Tommy Townsend,KC,JAX,2,2023,True,4,193,48.3,0,1,58
Logan Cooke,JAX,KC,2,2023,False,5,243,48.6,0,4,57
Pat O'Donnell,CHI,TB,7,2021,True,4,160,40.0,1,1,50
Bradley Pinion,TB,CHI,7,2021,False,4,161,40.3,1,1,49
Jake Camarda,TB,SF,11,2023,True,3,144,48.0,0,1,56
Mitch Wishnowsky,SF,TB,11,2023,False,3,153,51.0,0,0,60
Johnny Hekker,CAR,SEA,3,2023,True,5,246,49.2,0,3,58
Michael Dickson,SEA,CAR,3,2023,False,2,93,46.5,0,0,51
AJ Cole,LV,LAC,1,2022,True,2,106,53.0,0,1,56
JK Scott,LAC,LV,1,2022,False,4,196,49.0,0,1,51
Matt Haack,BUF,NO,12,2021,True,3,127,42.3,0,2,48
Blake Gillikin,NO,BUF,12,2021,False,5,235,47.0,0,0,53
