name,espnId,season,AG,ESPNRB,LNG,MISC,NTYDS,CMP,CAR,BIG,FD,FUM,LST,TD,YDS,YDS/G,STF,SYDSL,GP,OP,PTS,TP/G,TD,TYDS,SCRIM,2PTR,CMP,SCRIM/G,YDS/G,AVG
Ty'Son Williams,3895827,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0
Ty'Son Williams,3895827,2021,0.0,100.0,35.0,0.0,65.0,65.0,9.0,0.0,0.0,0.0,0.0,1.0,65.0,65.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,65.0,94.0,0.0,0.0,94.0,65.0,7.222
Ty'Son Williams,3895827,2021,0.0,77.0,20.0,0.0,77.0,77.0,13.0,0.0,0.0,1.0,0.0,0.0,77.0,77.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,77.0,93.0,0.0,0.0,93.0,77.0,5.923
Ty'Son Williams,3895827,2021,0.0,22.0,12.0,0.0,22.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,22.0,22.0,4.4
Ty'Son Williams,3895827,2021,0.0,6.0,5.0,0.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,6.0,21.0,0.0,0.0,21.0,6.0,1.5
Ty'Son Williams,3895827,2021,0.0,10.0,6.0,0.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,34.0,0.0,0.0,34.0,10.0,5.0
Ty'Son Williams,3895827,2021,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ty'Son Williams,3895827,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ty'Son Williams,3895827,2021,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0
Jaxon Smith-Njigba,4430878,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,13.0,13.0,0.0
