Name,PlayerID,Experience,Height,Weight,Position,Age,Team,TeamID,isFreeAgent,Headshot,espnID
Damontae Kazee,2976099,7,"5'11""",174,S,30,PIT,26,False,https://a.espncdn.com/i/headshots/nfl/players/full/2976099.png,2976099
Brandin Echols,4567979,3,"5'10""",175,CB,26,NYJ,25,False,https://a.espncdn.com/i/headshots/nfl/players/full/4567979.png,4567979
Jake Brendel,2577185,7,"6'4""",299,C,31,SF,28,False,https://a.espncdn.com/i/headshots/nfl/players/full/2577185.png,2577185
Jack Coco,4240499,2,"6'2""",248,LS,25,ARI,1,True,https://a.espncdn.com/i/headshots/nfl/players/full/4240499.png,4240499
Randen Plattner,4373084,R,"6'3""",241,LS,24,BAL,3,False,https://a.espncdn.com/i/headshots/college-football/players/full/4373084.png,4373084
Drue Tranquill,3129310,6,"6'2""",234, LB,28,KC,16,False,https://a.espncdn.com/i/headshots/nfl/players/full/3129310.png,3129310
Ty'Son Williams,3895827,2,"6'0""",220,RB,27,ARI,1,True,https://a.espncdn.com/i/headshots/nfl/players/full/3895827.png,3895827
Jaxon Smith-Njigba,4430878,R,"6'0""",197,WR,22,SEA,29,False,https://a.espncdn.com/i/headshots/nfl/players/full/4430878.png,4430878
MyCole Pruitt,2508256,8,"6'2""",258,TE,32,PIT,26,False,https://a.espncdn.com/i/headshots/nfl/players/full/2508256.png,2508256
Blake Fisher,4432699,R,"6'6""",310,OT,21,HOU,13,False,https://a.espncdn.com/i/headshots/college-football/players/full/4432699.png,4432699
Khyiris Tonga,4256074,4,"6'4""",338,DT,27,ARI,1,False,https://a.espncdn.com/i/headshots/nfl/players/full/4256074.png,4256074
Cooper Hodges,4360786,2,"6'3""",311,OT,23,JAX,15,False,https://a.espncdn.com/i/headshots/nfl/players/full/4360786.png,4360786
Emmanuel Ogbah,2977740,8,"6'4""",278,DE,30,MIA,20,True,https://a.espncdn.com/i/headshots/nfl/players/full/2977740.png,2977740
Wilson Huber,4239107,R,"6'4""",241,LB,25,MIN,21,True,https://a.espncdn.com/i/headshots/nfl/players/full/4239107.png,4239107
Marquise Goodwin,15839,10,"5'9""",185,WR,33,CLE,8,True,https://a.espncdn.com/i/headshots/nfl/players/full/15839.png,15839
Justin Hilliard,3915523,2,"6'1""",231,LB,27,KC,16,True,https://a.espncdn.com/i/headshots/nfl/players/full/3915523.png,3915523
Jonah Williams,4040726,6,"6'5""",312,OT,26,ARI,1,False,https://a.espncdn.com/i/headshots/nfl/players/full/4040726.png,4040726
Saahdiq Charles,4242230,4,"6'4""",322,OT,24,TEN,31,False,https://a.espncdn.com/i/headshots/nfl/players/full/4242230.png,4242230
Ethan Fernea,4062711,1,"6'0""",195,WR,26,IND,14,False,https://a.espncdn.com/i/headshots/nfl/players/full/4062711.png,4062711
Cohl Cabral,4047834,1,"6'5""",304,C,26,ARI,1,True,https://a.espncdn.com/i/headshots/nfl/players/full/4047834.png,4047834
Zach Cunningham,3051750,7,"6'3""",238,LB,29,PHI,27,True,https://a.espncdn.com/i/headshots/nfl/players/full/3051750.png,3051750
Andrew Coker,4429430,R,"6'7""",315,OT,23,LV,17,False,https://a.espncdn.com/i/headshots/college-football/players/full/4429430.png,4429430
Chris Claybrooks,4371737,4,"5'9""",180,CB,26,JAX,15,True,https://a.espncdn.com/i/headshots/nfl/players/full/4371737.png,4371737
Kenneth Walker III,4567048,2,"5'9""",211,RB,23,SEA,29,False,https://a.espncdn.com/i/headshots/nfl/players/full/4567048.png,4567048
Michael Palardy,17475,6,"5'11""",185,P,31,NE,22,True,https://a.espncdn.com/i/headshots/nfl/players/full/17475.png,17475
Nic Melsop,4892528,R,"6'6""",332,OT,26,LAC,18,True,https://a.espncdn.com/i/headshots/nfl/players/full/4892528.png,4892528
