,Name,Teams,Season,POS,GP,SOLO,AST,TOT,SACK YDS,YDS,TFL,PD,INT,INT YDS,LNG,TD,FF,FR,FTD
3045,Zach Cunningham,HOU,2020,LB,16,106,58,164,3.0,16,8,2,0,0,0,0,1,0,0
3046,Jaylon Smith,DAL,2020,LB,16,89,65,154,1.5,1,7,5,1,43,43,0,0,2,0
3047,Blake Martinez,NYG,2020,LB,16,86,65,151,3.0,18,11,5,1,2,2,0,2,1,0
3048,Joe Schobert,JAX,2020,LB,16,84,57,141,2.5,12,10,4,3,45,43,1,2,0,0
3049,Devin White,TB,2020,LB,15,97,43,140,9.0,70,18,4,0,0,0,0,1,1,0
3050,Roquan Smith,CHI,2020,LB,16,98,41,139,4.0,32,18,7,2,16,11,0,1,0,0
3051,Bobby Wagner,SEA,2020,LB,16,81,57,138,3.0,19,8,8,0,0,0,0,0,1,0
3052,Neville Hewitt,NYJ,2020,LB,16,91,43,134,2.0,14,8,4,0,0,0,0,1,1,0
3053,Shaquille Leonard,IND,2020,LB,14,86,46,132,3.0,21,10,7,0,0,0,0,3,2,0
3054,Fred Warner,SF,2020,LB,16,79,46,125,1.0,11,6,6,2,3,3,0,1,2,0
3055,Tyrell Adams,HOU,2020,LB,16,76,49,125,2.0,15,6,4,0,0,0,0,2,0,0
3056,Jordan Poyer,BUF,2020,S,16,91,33,124,2.0,14,7,5,2,14,14,0,2,0,0
3057,Alexander Johnson,DEN,2020,LB,16,72,52,124,1.0,10,4,2,0,0,0,0,2,0,0
3058,Eric Wilson,MIN,2020,LB,16,62,60,122,3.0,14,9,8,3,23,16,0,1,2,0
3059,Alex Singleton,PHI,2020,LB,16,75,45,120,2.0,8,6,1,1,30,30,1,0,2,0
3060,Demario Davis,NO,2020,LB,16,73,46,119,4.0,36,11,5,0,0,0,0,0,0,0
3061,Tremaine Edmunds,BUF,2020,LB,15,77,42,119,2.0,11,7,3,0,0,0,0,0,0,0
3062,Jon Bostic,WSH,2020,LB,16,61,57,118,3.0,19,6,3,1,0,0,0,0,0,0
3063,Jordan Hicks,ARI,2020,LB,16,78,40,118,0.0,0,12,4,1,6,6,0,0,0,0
3064,Myles Jack,JAX,2020,LB,14,72,46,118,1.0,6,8,5,1,0,0,0,1,2,0
3065,Budda Baker,ARI,2020,S,15,90,28,118,2.0,23,9,6,2,90,90,0,1,0,0
3066,Lavonte David,TB,2020,LB,16,82,35,117,1.5,15,14,6,1,-5,-5,0,3,2,0
3067,Foyesade Oluokun,ATL,2020,LB,15,78,39,117,3.0,19,6,4,2,65,51,0,4,1,0
3068,Jeremy Chinn,CAR,2020,S,15,68,49,117,1.0,11,3,5,1,0,0,0,2,2,2
3069,Vonn Bell,CIN,2020,S,16,67,47,114,0.0,0,4,5,0,0,0,0,3,2,0
3070,Shaq Thompson,CAR,2020,LB,16,63,50,113,0.0,0,9,5,0,0,0,0,2,1,0
3071,Danny Trevathan,CHI,2020,LB,16,67,45,112,1.0,8,4,5,0,0,0,0,1,0,0
3072,Josey Jewell,DEN,2020,LB,16,67,45,112,2.0,16,6,4,0,0,0,0,0,0,0
3073,Jerome Baker,MIA,2020,LB,16,70,42,112,7.0,69,8,3,0,0,0,0,2,0,0
3074,Avery Williamson,PIT / NYJ,2020,LB,15,73,38,111,1.0,8,4,3,1,21,21,0,0,0,0
3075,Kevin Byard III,TEN,2020,S,16,79,32,111,0.0,0,2,7,1,0,0,0,1,0,0
3076,Adrian Phillips,NE,2020,S,16,76,33,109,1.0,9,8,4,2,5,5,0,0,0,0
3077,Jessie Bates III,CIN,2020,S,16,78,31,109,0.0,0,2,15,3,12,12,0,1,0,0
3078,Eric Kendricks,MIN,2020,LB,11,69,38,107,0.0,0,5,6,3,0,0,0,0,0,0
3079,Kenneth Murray Jr.,LAC,2020,LB,16,68,39,107,1.0,4,4,3,0,0,0,0,0,0,0
3080,Deion Jones,ATL,2020,LB,16,73,33,106,4.5,38,11,6,2,84,67,1,1,1,0
3081,Patrick Queen,BAL,2020,LB,16,66,40,106,3.0,17,10,2,1,0,0,0,2,2,1
3082,John Johnson III,LAR,2020,S,16,73,32,105,0.0,0,2,8,1,0,0,0,0,0,0
3083,Anthony Harris,MIN,2020,S,16,58,46,104,0.0,0,3,7,0,0,0,0,0,0,0
3084,Jamie Collins Sr.,DET,2020,LB,14,55,46,101,1.0,11,7,6,1,1,1,0,3,1,0
3085,Malcolm Butler,TEN,2020,CB,16,86,14,100,0.0,0,1,14,4,111,68,0,0,0,0
3086,Keanu Neal,ATL,2020,S,15,76,24,100,1.0,9,9,2,1,0,0,0,0,1,0
3087,Josh Bynes,CIN,2020,LB,16,53,46,99,1.0,0,6,2,0,0,0,0,0,1,0
3088,De'Vondre Campbell,ARI,2020,LB,16,69,30,99,2.0,15,7,3,0,0,0,0,1,0,0
3089,Justin Simmons,DEN,2020,S,16,77,19,96,0.0,0,3,9,5,90,46,0,0,1,0
3090,Chuck Clark,BAL,2020,S,16,57,39,96,1.5,11,4,4,1,0,0,0,2,2,1
3091,Rashaan Evans,TEN,2020,LB,16,60,36,96,0.5,0,2,5,0,0,0,0,0,1,0
3092,Tre Boston,CAR,2020,S,16,60,35,95,1.0,7,3,4,1,0,0,0,1,2,0
3093,Logan Ryan,NYG,2020,S,16,68,26,94,1.0,7,1,9,1,15,15,0,3,2,0
3094,Taron Johnson,BUF,2020,CB,16,70,24,94,1.0,6,6,7,1,51,51,1,1,0,0
3095,Antoine Winfield Jr.,TB,2020,S,16,64,30,94,3.0,20,2,6,1,16,16,0,2,1,0
3096,Anthony Walker Jr.,IND,2020,LB,16,65,27,92,0.0,0,3,5,1,11,11,0,0,1,0
3097,Malcolm Jenkins,NO,2020,S,16,69,22,91,2.5,25,8,10,3,58,48,0,1,1,0
3098,Daniel Sorensen,KC,2020,S,15,68,23,91,0.0,0,2,5,3,67,50,1,2,0,0
3099,Eric Rowe,MIA,2020,S,16,66,25,91,0.0,0,2,11,2,26,22,0,0,1,0
3100,B.J. Goodson,CLE,2020,LB,14,59,32,91,0.5,6,4,6,2,7,7,0,0,1,0
3101,Jabrill Peppers,NYG,2020,S,15,57,34,91,2.5,20,9,11,1,6,6,0,1,1,0
3102,Kareem Jackson,DEN,2020,CB,16,67,23,90,0.0,0,1,4,1,13,13,0,0,2,0
3103,Ja'Whaun Bentley,NE,2020,LB,13,50,40,90,1.5,11,4,2,0,0,0,0,0,0,0
3104,Harrison Smith,MIN,2020,S,16,54,35,89,0.5,5,4,10,5,33,16,0,0,0,0
3105,Germaine Pratt,CIN,2020,LB,16,55,34,89,0.0,0,6,2,0,0,0,0,0,0,0
3106,Marcus Maye,NYJ,2020,S,16,52,36,88,2.0,6,5,11,2,0,0,0,2,1,0
3107,Kamren Curl,WSH,2020,S,16,63,25,88,2.0,16,5,4,3,88,76,1,0,0,0
3108,Tracy Walker III,DET,2020,S,15,64,23,87,1.0,7,5,4,0,0,0,0,0,0,0
3109,K.J. Wright,SEA,2020,LB,16,60,26,86,2.0,8,12,10,1,7,7,0,1,2,0
3110,Johnathan Abram,LV,2020,S,13,60,26,86,0.0,0,4,5,2,29,24,0,0,0,0
3111,Dre Greenlaw,SF,2020,LB,13,61,25,86,1.0,8,7,1,0,0,0,0,0,0,0
3112,Khari Willis,IND,2020,S,14,65,20,85,2.0,15,3,6,2,93,50,1,1,0,0
3113,Rayshawn Jenkins,LAC,2020,S,15,58,26,84,1.0,6,6,4,2,23,23,0,0,0,0
3114,Kenny Vaccaro,TEN,2020,S,13,62,21,83,1.0,4,5,5,0,0,0,0,0,1,0
3115,Adrian Amos,GB,2020,S,16,66,17,83,2.0,12,4,9,2,47,24,0,0,1,0
3116,Josh Jones,JAX,2020,S,13,59,24,83,0.0,0,0,1,1,0,0,0,0,0,0
