,Name,Teams,Season,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
942,Stefon Diggs,BUF,2020,WR,16,127,166,1535,12.1,8,55,20,95.9,0,0,468,73
943,Travis Kelce,KC,2020,TE,15,105,145,1416,13.5,11,45,23,94.4,1,1,597,79
944,DeAndre Hopkins,ARI,2020,WR,16,115,160,1407,12.2,6,60,17,87.9,3,2,527,75
945,Justin Jefferson,MIN,2020,WR,16,88,125,1400,15.9,7,71,23,87.5,1,0,450,58
946,Davante Adams,GB,2020,WR,14,115,149,1374,11.9,18,56,18,98.1,1,1,592,73
947,Calvin Ridley,ATL,2020,WR,15,90,143,1374,15.3,9,63,23,91.6,1,1,369,65
948,DK Metcalf,SEA,2020,WR,16,83,129,1303,15.7,10,62,17,81.4,1,1,384,63
949,Tyreek Hill,KC,2020,WR,15,87,135,1276,14.7,15,75,20,85.1,0,0,430,57
950,Allen Robinson II,CHI,2020,WR,16,102,151,1250,12.3,6,42,22,78.1,0,0,339,68
951,Darren Waller,LV,2020,TE,16,107,145,1196,11.2,9,38,16,74.8,2,2,583,69
952,DJ Moore,CAR,2020,WR,15,66,118,1193,18.1,4,74,19,79.5,0,0,390,53
953,Brandin Cooks,HOU,2020,WR,15,81,119,1150,14.2,6,57,20,76.7,0,0,348,52
954,Terry McLaurin,WSH,2020,WR,15,87,134,1118,12.9,4,68,17,74.5,1,1,490,51
955,Amari Cooper,DAL,2020,WR,16,92,130,1114,12.1,5,69,13,69.6,0,0,408,54
956,Robbie Chosen,CAR,2020,WR,16,95,136,1096,11.5,3,75,16,68.5,1,1,514,49
957,A.J. Brown,TEN,2020,WR,14,70,106,1075,15.4,11,73,13,76.8,2,1,422,55
958,Tyler Lockett,SEA,2020,WR,16,100,132,1054,10.5,10,47,10,65.9,1,0,339,57
959,Mike Evans,TB,2020,WR,16,70,109,1006,14.4,13,50,20,62.9,0,0,266,55
960,Keenan Allen,LAC,2020,WR,14,100,147,992,9.9,8,28,10,70.9,3,2,448,61
961,Corey Davis,TEN,2020,WR,14,65,92,984,15.1,5,75,14,70.3,1,1,279,49
962,Marvin Jones Jr.,DET,2020,WR,16,76,115,978,12.9,9,43,19,61.1,0,0,203,52
963,Cooper Kupp,LAR,2020,WR,15,92,124,974,10.6,3,55,12,64.9,0,0,529,45
964,Cole Beasley,BUF,2020,WR,15,82,107,967,11.8,4,35,15,64.5,0,0,354,53
965,Robert Woods,LAR,2020,WR,16,90,129,936,10.4,6,56,11,58.5,1,0,504,46
966,CeeDee Lamb,DAL,2020,WR,16,74,111,935,12.6,5,52,18,58.4,1,1,317,46
967,Adam Thielen,MIN,2020,WR,15,74,108,925,12.5,14,51,11,61.7,0,0,231,52
968,Diontae Johnson,PIT,2020,WR,15,88,144,923,10.5,7,47,10,61.5,1,0,396,45
969,Tee Higgins,CIN,2020,WR,16,67,108,908,13.6,6,67,14,56.8,1,1,304,52
