,Name,Teams,Season,POS,GP,FGM,FGA,FG%,LNG,1-19,20-29,30-39,40-49,50+,XPM,XPA,XP%
0,Justin Tucker,BAL,2022,PK,17,37,43,86.0,58,0-0,13-13,11-11,4-5,9-14,31,32,96.9
1,Jason Myers,SEA,2022,PK,17,34,37,91.9,56,0-0,9-9,15-16,4-6,6-6,41,42,97.6
2,Daniel Carlson,LV,2022,PK,17,34,37,91.9,57,0-0,9-9,11-11,3-4,11-13,35,36,97.2
3,Eddy Pineiro,CAR,2022,PK,17,33,35,94.3,54,0-0,2-2,16-17,13-14,2-2,30,32,93.8
4,Nick Folk,NE,2022,PK,17,32,37,86.5,54,1-1,9-9,8-8,10-14,4-5,32,35,91.4
5,Younghoe Koo,ATL,2022,PK,17,32,37,86.5,54,0-0,9-9,7-7,9-10,7-11,33,35,94.3
6,Ryan Succop,TB,2022,PK,17,31,38,81.6,54,0-0,10-11,7-8,12-12,2-7,24,25,96.0
7,Greg Zuerlein,NYJ,2022,PK,17,30,37,81.1,60,0-0,5-5,10-10,9-11,6-11,28,29,96.6
8,Chase McLaughlin,IND,2022,PK,16,30,36,83.3,54,0-0,7-7,5-6,9-11,9-12,21,21,100.0
9,Riley Patterson,JAX,2022,PK,17,30,35,85.7,53,0-0,8-8,10-11,10-13,2-3,36,37,97.3
10,Graham Gano,NYG,2022,PK,17,29,32,90.6,57,0-0,2-2,9-10,10-11,8-9,32,34,94.1
11,Brett Maher,DAL,2022,PK,17,29,32,90.6,60,0-0,9-9,5-5,6-7,9-11,50,53,94.3
12,Ka'imi Fairbairn,HOU,2022,PK,17,29,31,93.5,56,0-0,7-7,7-8,9-10,6-6,24,24,100.0
13,Brandon McManus,DEN,2022,PK,17,28,36,77.8,55,0-0,6-7,4-6,10-10,8-13,25,27,92.6
14,Matt Gay,LAR,2022,PK,17,28,30,93.3,58,0-0,9-9,8-8,4-4,7-9,31,32,96.9
15,Robbie Gould,SF,2022,PK,17,27,32,84.4,51,0-0,13-14,5-5,7-11,2-2,50,51,98.0
16,Tyler Bass,BUF,2022,PK,16,27,31,87.1,56,0-0,4-4,11-13,10-11,2-3,48,50,96.0
17,Jason Sanders,MIA,2022,PK,17,26,32,81.3,55,0-0,5-6,7-7,12-13,2-6,41,44,93.2
18,Greg Joseph,MIN,2022,PK,17,26,33,78.8,61,0-0,10-10,5-5,7-8,4-10,40,46,87.0
19,Mason Crosby,GB,2022,PK,17,25,29,86.2,56,0-0,10-10,8-8,6-7,1-4,37,39,94.9
20,Joey Slye,WSH,2022,PK,17,25,30,83.3,58,1-1,8-8,4-5,8-10,4-6,24,28,85.7
21,Michael Badgley,CHI / DET,2022,PK,13,24,28,85.7,53,0-0,6-7,7-7,9-11,2-3,33,33,100.0
22,Evan McPherson,CIN,2022,PK,16,24,29,82.8,59,1-1,5-6,4-4,9-13,5-5,40,44,90.9
23,Cade York,CLE,2022,PK,17,24,32,75.0,58,0-0,5-5,9-12,6-8,4-7,35,37,94.6
24,Wil Lutz,NO,2022,PK,17,23,31,74.2,60,0-0,6-6,9-11,4-8,4-6,33,33,100.0
25,Matt Prater,ARI,2022,PK,13,22,25,88.0,57,0-0,1-1,10-10,6-8,5-6,17,18,94.4
26,Cairo Santos,CHI,2022,PK,16,21,23,91.3,51,0-0,4-4,7-7,6-7,4-5,27,32,84.4
27,Cameron Dicker,LAC / PHI,2022,PK,11,21,22,95.5,48,0-0,7-7,7-7,7-7,0-1,24,24,100.0
28,Chris Boswell,PIT,2022,PK,12,20,28,71.4,59,0-0,4-4,4-5,5-10,7-9,18,18,100.0
29,Jake Elliott,PHI,2022,PK,16,20,23,87.0,56,0-0,6-6,8-9,1-2,5-6,51,53,96.2
30,Harrison Butker,KC,2022,PK,13,18,24,75.0,62,0-0,7-7,4-5,4-5,3-7,38,41,92.7
31,Randy Bullock,TEN,2022,PK,15,17,20,85.0,51,0-0,5-5,5-5,6-8,1-2,28,28,100.0
32,Matthew Wright,KC / PIT,2022,PK,6,15,18,83.3,59,0-0,1-1,6-7,6-8,2-2,15,15,100.0
33,Dustin Hopkins,LAC,2022,PK,5,9,10,90.0,43,0-0,2-2,6-6,1-2,0-0,12,12,100.0
34,Matt Ammendola,ARI / KC,2022,PK,4,5,7,71.4,31,1-1,3-3,1-2,0-1,0-0,5,7,71.4
35,Rodrigo Blankenship,IND / ARI,2022,PK,3,4,5,80.0,50,0-0,2-2,0-0,1-2,1-1,4,5,80.0
36,Taylor Bertolet,LAC,2022,PK,2,3,3,100.0,28,0-0,3-3,0-0,0-0,0-0,6,6,100.0
37,Austin Seibert,DET,2022,PK,3,3,5,60.0,48,0-0,0-0,1-1,2-3,0-1,12,12,100.0
38,Caleb Shudak,TEN,2022,PK,1,3,4,75.0,38,0-0,1-1,2-3,0-0,0-0,1,1,100.0
39,Tristan Vizcaino,ARI / NE,2022,PK,3,2,2,100.0,46,0-0,0-0,1-1,1-1,0-0,3,3,100.0
40,Nick Sciba,PIT,2022,PK,1,2,2,100.0,38,0-0,1-1,1-1,0-0,0-0,1,1,100.0
41,Dominik Eberle,DET,2022,PK,1,1,1,100.0,49,0-0,0-0,0-0,1-1,0-0,2,4,50.0
42,Thomas Morstead,MIA,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
43,Johnny Hekker,CAR,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
44,Sam Martin,BUF,2022,P,16,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
45,Tress Way,WSH,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
46,Riley Dixon,LAR,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
47,Bradley Pinion,ATL,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
48,Josh Lambo,TEN,2022,PK,1,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,3,4,75.0
49,Logan Cooke,JAX,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
50,JK Scott,LAC,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
51,Jack Fox,DET,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
52,Michael Dickson,SEA,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
53,Jake Bailey,NE,2022,P,9,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
54,Justin Reid,KC,2022,S,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,2,50.0
55,Jamie Gillan,NYG,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
56,Braden Mann,NYJ,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
57,Mitch Wishnowsky,SF,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,2,50.0
58,Corey Bojorquez,CLE,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
59,Trenton Gill,CHI,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
60,Eno Benjamin,ARI / HOU,2022,RB,15,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
61,Ryan Stonehouse,TEN,2022,P,17,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
62,Ramiz Ahmed,GB,2022,PK,1,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,0,0.0
