,Name,Teams,Season,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
0,Justin Jefferson,MIN,2022,WR,17,128,184,1809,14.1,8,64,28,106.4,0,0,613,80
1,Tyreek Hill,MIA,2022,WR,17,119,170,1710,14.4,7,64,25,100.6,1,0,482,77
2,Davante Adams,LV,2022,WR,17,100,180,1516,15.2,14,60,24,89.2,1,0,493,65
3,A.J. Brown,PHI,2022,WR,17,88,145,1496,17.0,11,78,23,88.0,2,2,548,59
4,Stefon Diggs,BUF,2022,WR,16,108,154,1429,13.2,11,53,17,89.3,1,0,419,72
5,CeeDee Lamb,DAL,2022,WR,17,107,156,1359,12.7,9,39,24,79.9,0,0,486,67
6,Jaylen Waddle,MIA,2022,WR,17,75,117,1356,18.1,8,84,21,79.8,1,1,510,60
7,Travis Kelce,KC,2022,TE,17,110,152,1338,12.2,12,52,19,78.7,1,1,648,78
8,DeVonta Smith,PHI,2022,WR,17,95,136,1196,12.6,7,45,18,70.4,1,1,476,57
9,Terry McLaurin,WSH,2022,WR,17,77,120,1191,15.5,5,52,16,70.1,0,0,394,56
10,Amon-Ra St. Brown,DET,2022,WR,16,106,146,1161,11.0,6,49,11,72.6,0,0,526,68
11,Amari Cooper,CLE,2022,WR,17,78,132,1160,14.9,9,55,18,68.2,0,0,325,61
12,Mike Evans,TB,2022,WR,15,77,127,1124,14.6,6,63,19,74.9,0,0,216,53
13,Christian Kirk,JAX,2022,WR,17,84,133,1108,13.2,8,49,18,65.2,1,1,377,54
14,Garrett Wilson,NYJ,2022,WR,17,83,147,1103,13.3,4,60,13,64.9,1,1,384,56
15,DK Metcalf,SEA,2022,WR,17,90,141,1048,11.6,6,54,11,61.6,2,2,217,47
16,Ja'Marr Chase,CIN,2022,WR,12,87,134,1046,12.0,9,60,13,87.2,2,2,436,58
17,Chris Olave,NO,2022,WR,15,72,119,1042,14.5,4,53,13,69.5,2,2,210,48
18,Tyler Lockett,SEA,2022,WR,16,84,117,1033,12.3,9,40,14,64.6,1,1,274,50
19,Tee Higgins,CIN,2022,WR,16,74,109,1029,13.9,7,59,14,64.3,0,0,286,46
20,Chris Godwin,TB,2022,WR,15,104,142,1023,9.8,3,44,10,68.2,2,2,531,53
21,Brandon Aiyuk,SF,2022,WR,17,78,114,1015,13.0,8,54,17,59.7,1,1,388,47
22,Jerry Jeudy,DEN,2022,WR,15,67,100,972,14.5,6,67,14,64.8,0,0,392,41
23,JuJu Smith-Schuster,KC,2022,WR,16,78,101,933,12.0,3,53,9,58.3,3,2,465,47
24,Michael Pittman Jr.,IND,2022,WR,16,99,141,925,9.3,4,28,8,57.8,2,1,357,51
25,T.J. Hockenson,MIN / DET,2022,TE,17,86,129,914,10.6,6,81,5,53.8,1,1,413,44
