name,team,opponent,week,season,isHome,REC,YDS,AVG,TD,LONG,TGTS
Rondale Moore,ARI,WSH,1,2023,True,3,33,11.0,0,31,3
Marquise Brown,ARI,WSH,1,2023,True,3,28,9.3,0,11,5
Trey McBride,ARI,WSH,1,2023,True,2,23,11.5,0,13,2
Zach Ertz,ARI,WSH,1,2023,True,6,21,3.5,0,6,10
Michael Wilson,ARI,WSH,1,2023,True,2,19,9.5,0,15,4
James Conner,ARI,WSH,1,2023,True,5,8,1.6,0,11,5
Zach Pascal,ARI,WSH,1,2023,True,0,0,0.0,0,0,1
Curtis Samuel,WSH,ARI,1,2023,False,5,54,10.8,0,32,5
Logan Thomas,WSH,ARI,1,2023,False,4,43,10.8,0,19,8
Jahan Dotson,WSH,ARI,1,2023,False,5,40,8.0,0,14,7
Terry McLaurin,WSH,ARI,1,2023,False,2,31,15.5,0,19,4
Cole Turner,WSH,ARI,1,2023,False,1,17,17.0,0,17,2
Antonio Gibson,WSH,ARI,1,2023,False,1,10,10.0,0,10,1
Brian Robinson Jr.,WSH,ARI,1,2023,False,1,7,7.0,1,7,2
Darius Slayton,NYG,JAX,7,2022,True,3,58,19.3,1,32,6
Wan'Dale Robinson,NYG,JAX,7,2022,True,6,50,8.3,0,17,8
Saquon Barkley,NYG,JAX,7,2022,True,4,25,6.3,0,9,4
Chris Myarick,NYG,JAX,7,2022,True,2,21,10.5,0,11,2
David Sills V,NYG,JAX,7,2022,True,1,19,19.0,0,19,1
Matt Breida,NYG,JAX,7,2022,True,1,14,14.0,0,14,1
Daniel Bellinger,NYG,JAX,7,2022,True,1,13,13.0,0,13,1
Richie James,NYG,JAX,7,2022,True,1,2,2.0,0,2,2
Marcus Johnson,NYG,JAX,7,2022,True,0,0,0.0,0,0,3
Tanner Hudson,NYG,JAX,7,2022,True,0,0,0.0,0,0,1
Christian Kirk,JAX,NYG,7,2022,False,7,96,13.7,0,34,10
Evan Engram,JAX,NYG,7,2022,False,4,67,16.8,0,28,7
Marvin Jones Jr.,JAX,NYG,7,2022,False,4,57,14.3,0,28,8
Zay Jones,JAX,NYG,7,2022,False,4,54,13.5,0,20,10
Dan Arnold,JAX,NYG,7,2022,False,1,24,24.0,0,24,1
Tim Jones,JAX,NYG,7,2022,False,1,7,7.0,0,7,1
Travis Etienne Jr.,JAX,NYG,7,2022,False,1,5,5.0,0,5,5
James Robinson,JAX,NYG,7,2022,False,0,0,0.0,0,0,1
Antonio Gibson,WSH,BUF,3,2021,True,1,73,73.0,1,73,2
Terry McLaurin,WSH,BUF,3,2021,True,4,62,15.5,0,37,7
Logan Thomas,WSH,BUF,3,2021,True,4,42,10.5,1,15,4
Cam Sims,WSH,BUF,3,2021,True,1,15,15.0,0,15,2
J.D. McKissic,WSH,BUF,3,2021,True,2,15,7.5,0,11,2
Adam Humphries,WSH,BUF,3,2021,True,1,7,7.0,0,7,4
Dyami Brown,WSH,BUF,3,2021,True,0,0,0.0,0,0,2
Taylor Heinicke,WSH,BUF,3,2021,True,1,-2,-2.0,0,-2,1
Cole Beasley,BUF,WSH,3,2021,False,11,98,8.9,0,22,13
Emmanuel Sanders,BUF,WSH,3,2021,False,5,94,18.8,2,41,6
Stefon Diggs,BUF,WSH,3,2021,False,6,62,10.3,0,13,10
Dawson Knox,BUF,WSH,3,2021,False,4,49,12.3,1,19,5
Zack Moss,BUF,WSH,3,2021,False,3,31,10.3,1,17,3
Gabe Davis,BUF,WSH,3,2021,False,1,23,23.0,0,23,1
Tommy Sweeney,BUF,WSH,3,2021,False,2,2,1.0,0,1,2
Reggie Gilliam,BUF,WSH,3,2021,False,0,0,0.0,0,0,1
Devin Singletary,BUF,WSH,3,2021,False,1,0,0.0,0,0,2
Davante Adams,GB,CHI,6,2021,True,4,89,22.3,0,41,5
Aaron Jones,GB,CHI,6,2021,True,4,34,8.5,1,12,4
Allen Lazard,GB,CHI,6,2021,True,3,27,9.0,1,13,5
Marcedes Lewis,GB,CHI,6,2021,True,2,17,8.5,0,9,2
Amari Rodgers,GB,CHI,6,2021,True,1,14,14.0,0,14,1
Robert Tonyan,GB,CHI,6,2021,True,2,10,5.0,0,6,3
Josiah Deguara,GB,CHI,6,2021,True,1,4,4.0,0,4,1
Allen Robinson II,CHI,GB,6,2021,False,4,53,13.3,0,20,7
Cole Kmet,CHI,GB,6,2021,False,4,49,12.3,0,21,5
Darnell Mooney,CHI,GB,6,2021,False,5,45,9.0,1,15,8
Khalil Herbert,CHI,GB,6,2021,False,2,15,7.5,0,8,3
Marquise Goodwin,CHI,GB,6,2021,False,1,12,12.0,0,12,1
Damiere Byrd,CHI,GB,6,2021,False,0,0,0.0,0,0,1
Davante Adams,GB,SF,3,2021,True,12,132,11.0,1,25,18
Marquez Valdes-Scantling,GB,SF,3,2021,True,3,59,19.7,1,47,4
Allen Lazard,GB,SF,3,2021,True,1,42,42.0,0,42,1
Aaron Jones,GB,SF,3,2021,True,2,14,7.0,0,11,2
AJ Dillon,GB,SF,3,2021,True,2,8,4.0,0,6,2
Robert Tonyan,GB,SF,3,2021,True,1,6,6.0,0,6,1
Josiah Deguara,GB,SF,3,2021,True,1,4,4.0,0,4,1
Randall Cobb,GB,SF,3,2021,True,0,0,0.0,0,0,1
Aaron Rodgers,GB,SF,3,2021,True,1,-4,-4.0,0,-4,1
George Kittle,SF,GB,3,2021,False,7,92,13.1,0,39,9
Deebo Samuel Sr.,SF,GB,3,2021,False,5,52,10.4,0,19,10
Kyle Juszczyk,SF,GB,3,2021,False,4,37,9.3,1,12,4
Brandon Aiyuk,SF,GB,3,2021,False,4,37,9.3,1,16,6
Mohamed Sanu,SF,GB,3,2021,False,3,36,12.0,0,16,6
Trey Sermon,SF,GB,3,2021,False,2,3,1.5,0,3,3
Tyreek Hill,MIA,SF,13,2022,True,9,146,16.2,1,45,14
Trent Sherfield,MIA,SF,13,2022,True,1,75,75.0,1,75,3
River Cracraft,MIA,SF,13,2022,True,2,29,14.5,0,18,3
Durham Smythe,MIA,SF,13,2022,True,2,21,10.5,0,19,2
Alec Ingold,MIA,SF,13,2022,True,3,15,5.0,0,7,4
Jaylen Waddle,MIA,SF,13,2022,True,1,9,9.0,0,9,5
Mike Gesicki,MIA,SF,13,2022,True,0,0,0.0,0,0,1
Jeff Wilson Jr.,MIA,SF,13,2022,True,0,0,0.0,0,0,2
Christian McCaffrey,SF,MIA,13,2022,False,8,80,10.0,1,33,10
Deebo Samuel Sr.,SF,MIA,13,2022,False,6,58,9.7,0,12,10
Brandon Aiyuk,SF,MIA,13,2022,False,5,46,9.2,0,23,9
Jauan Jennings,SF,MIA,13,2022,False,2,34,17.0,0,19,4
George Kittle,SF,MIA,13,2022,False,2,22,11.0,0,19,3
Tyler Kroft,SF,MIA,13,2022,False,1,14,14.0,0,14,1
Kyle Juszczyk,SF,MIA,13,2022,False,3,12,4.0,1,5,3
Terry McLaurin,WSH,PHI,15,2021,True,2,51,25.5,0,46,4
Antonio Gibson,WSH,PHI,15,2021,True,6,39,6.5,0,19,7
John Bates,WSH,PHI,15,2021,True,1,29,29.0,0,29,1
Ricky Seals-Jones,WSH,PHI,15,2021,True,4,29,7.3,0,12,7
Adam Humphries,WSH,PHI,15,2021,True,3,23,7.7,0,10,6
Cam Sims,WSH,PHI,15,2021,True,1,13,13.0,0,13,1
DeAndre Carter,WSH,PHI,15,2021,True,2,12,6.0,0,7,3
Dax Milne,WSH,PHI,15,2021,True,1,-2,-2.0,0,-2,1
Dallas Goedert,PHI,WSH,15,2021,False,7,135,19.3,0,45,9
Jalen Reagor,PHI,WSH,15,2021,False,3,57,19.0,0,34,3
DeVonta Smith,PHI,WSH,15,2021,False,3,40,13.3,0,28,5
Greg Ward,PHI,WSH,15,2021,False,2,28,14.0,1,19,3
Miles Sanders,PHI,WSH,15,2021,False,2,15,7.5,0,16,2
Quez Watkins,PHI,WSH,15,2021,False,2,14,7.0,0,9,2
Jack Stoll,PHI,WSH,15,2021,False,1,7,7.0,0,7,1
Kenneth Gainwell,PHI,WSH,15,2021,False,0,0,0.0,0,0,1
